store,runs,cross_node_sessions_sum,cross_node_sessions_mean,state_miss_sum,state_miss_mean,duplicate_admission_sum,commitment_invalid_sum,commitment_mismatch_sum,commitment_expired_sum,adversarial_rows,adversarial_reject_all_count,adversarial_reject_all_rate,false_accept_sum,executed_after_rejected_amendment_sum,validation_error_count_sum
memory,3,12398,4132.7,9813,3271.0,0,0,0,0,54,9,0.166667,0,0,61
redis,3,21877,7292.3,0,0.0,0,0,0,0,54,54,1.000000,0,0,31
