timestamp,status,latency_ms,budget,tool_name,regime
1773974609.365062,success,1174.10,100,mock_heavy,
1773974609.390631,success,1348.43,100,mock_heavy,
1773974609.419785,success,1437.65,100,mock_heavy,
1773974609.446984,success,1584.73,100,mock_heavy,
1773974609.448076,error,2.22,100,mock_heavy,
1773974609.455860,error,2.25,100,calculate,
1773974609.502127,success,1120.09,100,web_fetch,
1773974609.533216,error,2.11,100,web_fetch,
1773974609.571952,success,1230.07,100,calculate,
1773974609.602531,error,3.12,100,mock_heavy,
1773974609.604108,error,3.07,100,mock_heavy,
1773974609.605083,error,2.82,100,calculate,
1773974609.606301,error,2.88,100,mock_heavy,
1773974609.607985,error,1.76,100,web_fetch,
1773974609.685643,error,2.08,100,calculate,
1773974609.738713,error,2.60,100,web_fetch,
1773974609.739266,error,2.63,100,calculate,
1773974609.787092,success,1160.73,100,web_fetch,
1773974609.849540,error,2.70,100,web_fetch,
1773974610.030612,success,930.72,100,web_fetch,
1773974610.079050,error,2.66,100,calculate,
1773974610.141011,success,723.02,100,calculate,
1773974610.142057,error,2.18,100,mock_heavy,
1773974610.159197,error,2.21,100,calculate,
1773974610.214494,error,3.82,100,web_fetch,
1773974610.216107,error,3.89,100,mock_heavy,
1773974610.217160,error,3.41,100,web_fetch,
1773974610.219425,error,1.68,100,web_fetch,
1773974610.245606,error,2.22,100,web_fetch,
1773974610.294001,success,1426.77,100,mock_heavy,
1773974610.295096,error,2.51,100,mock_heavy,
1773974610.295673,error,3.28,100,web_fetch,
1773974610.296354,error,3.15,100,mock_heavy,
1773974610.297605,error,2.44,100,web_fetch,
1773974610.328636,error,2.32,100,mock_heavy,
1773974610.383612,error,2.54,100,web_fetch,
1773974610.439546,error,2.77,100,calculate,
1773974610.502431,success,521.39,100,calculate,
1773974610.503590,error,2.17,100,web_fetch,
1773974610.504675,error,1.62,100,calculate,
1773974610.539688,error,2.18,100,calculate,
1773974610.580379,error,1.76,100,calculate,
1773974610.581136,error,2.10,100,mock_heavy,
1773974610.621006,error,2.41,100,calculate,
1773974610.623414,error,2.27,100,mock_heavy,
1773974610.682815,success,545.45,100,web_fetch,
1773974610.724567,error,2.20,100,calculate,
1773974610.739065,success,506.90,100,web_fetch,
1773974610.740065,error,1.92,100,calculate,
1773974610.761154,error,3.00,100,calculate,
1773974610.762153,error,3.48,100,web_fetch,
1773974610.763151,error,2.48,100,calculate,
1773974610.764151,error,1.48,100,web_fetch,
1773974610.793689,error,2.72,100,mock_heavy,
1773974610.794798,error,2.14,100,web_fetch,
1773974610.856312,success,278.55,100,calculate,
1773974610.857982,error,1.70,100,mock_heavy,
1773974610.947823,success,1065.97,100,mock_heavy,
1773974610.949375,success,359.01,100,calculate,
1773974611.060338,success,391.69,100,calculate,
1773974611.085228,success,421.69,100,calculate,
1773974611.156364,success,576.18,100,web_fetch,
1773974611.189297,success,1418.13,100,mock_heavy,
1773974611.211537,success,1410.98,100,mock_heavy,
1773974611.212273,error,1.95,100,calculate,
1773974611.228805,error,2.18,100,web_fetch,
1773974611.245963,error,2.13,100,calculate,
1773974611.248098,error,2.14,100,calculate,
1773974611.248639,error,2.16,100,web_fetch,
1773974611.272880,error,2.61,100,calculate,
1773974611.273774,error,2.27,100,web_fetch,
1773974611.274946,error,1.63,100,mock_heavy,
1773974611.378627,success,1444.02,100,mock_heavy,
1773974611.450853,success,1530.61,100,mock_heavy,
1773974611.490454,success,1256.79,100,web_fetch,
1773974611.552167,success,1109.55,100,web_fetch,
1773974611.587600,error,2.04,100,mock_heavy,
1773974611.673033,error,1.95,100,mock_heavy,
1773974611.719325,error,3.10,100,calculate,
1773974611.732544,error,2.46,100,mock_heavy,
1773974611.775017,success,1665.06,100,mock_heavy,
1773974611.814639,success,1031.51,100,web_fetch,
1773974611.876576,success,1186.88,100,web_fetch,
1773974611.905473,error,2.34,100,mock_heavy,
1773974611.941471,error,2.69,100,web_fetch,
1773974611.998085,error,2.76,100,web_fetch,
1773974611.999081,error,2.90,100,web_fetch,
1773974611.999720,error,2.83,100,web_fetch,
1773974612.001433,error,2.34,100,calculate,
1773974612.067747,error,2.76,100,calculate,
1773974612.068949,error,2.10,100,web_fetch,
1773974612.164016,error,2.94,100,mock_heavy,
1773974612.164962,error,2.99,100,calculate,
1773974612.165957,error,2.00,100,calculate,
1773974612.204137,error,2.36,100,mock_heavy,
1773974612.204563,error,2.46,100,web_fetch,
1773974612.245518,success,1610.51,100,mock_heavy,
1773974612.330015,success,1591.66,100,mock_heavy,
1773974612.370540,error,2.54,100,mock_heavy,
1773974612.370905,error,2.73,100,mock_heavy,
1773974612.441001,success,880.68,100,web_fetch,
1773974612.474328,error,2.89,100,mock_heavy,
1773974612.512352,error,2.79,100,mock_heavy,
1773974612.585615,error,2.07,100,web_fetch,
1773974612.692733,success,1671.61,100,mock_heavy,
1773974612.724748,success,746.95,100,calculate,
1773974612.745451,error,2.50,100,web_fetch,
1773974612.746702,error,2.46,100,mock_heavy,
1773974612.782713,error,1.72,100,web_fetch,
1773974612.817255,error,2.42,100,mock_heavy,
1773974612.818483,error,1.74,100,mock_heavy,
1773974612.878755,success,1417.61,100,mock_heavy,
1773974612.879205,error,2.83,100,calculate,
1773974612.953895,success,854.44,100,calculate,
1773974612.954891,error,2.71,100,calculate,
1773974612.955891,error,2.23,100,web_fetch,
1773974612.957087,error,2.11,100,calculate,
1773974612.980395,error,2.10,100,web_fetch,
1773974613.012898,error,2.95,100,calculate,
1773974613.014462,error,1.95,100,web_fetch,
1773974613.111670,error,2.14,100,calculate,
1773974613.149069,success,706.95,100,calculate,
1773974613.150223,error,2.21,100,mock_heavy,
1773974613.213600,success,1666.57,100,mock_heavy,
1773974613.269576,error,2.43,100,web_fetch,
1773974613.320216,error,2.63,100,mock_heavy,
1773974613.385282,success,910.53,100,web_fetch,
1773974613.416915,error,2.60,100,web_fetch,
1773974613.614113,success,701.72,100,calculate,
1773974613.614113,success,1533.58,100,mock_heavy,
1773974613.663344,error,5.06,100,web_fetch,
1773974613.664517,error,4.94,100,mock_heavy,
1773974613.665572,error,3.89,100,calculate,
1773974613.695222,error,2.19,100,mock_heavy,
1773974613.765673,error,3.14,100,mock_heavy,
