timestamp,status,latency_ms,budget,tool_name,regime
1773973955.498236,rejected,1.16,100,web_fetch,bursty
1773973955.590212,success,123.70,100,calculate,periodic
1773973955.591658,success,184.52,100,calculate,periodic
1773973955.651572,rejected,1.60,100,mock_heavy,periodic
1773973955.681799,rejected,1.61,100,mock_heavy,periodic
1773973955.712275,rejected,1.64,100,mock_heavy,periodic
1773973955.743603,success,989.44,100,mock_heavy,bursty
1773973955.744256,success,1000.92,100,mock_heavy,bursty
1773973955.774579,success,387.25,100,calculate,periodic
1773973955.834415,success,669.35,100,web_fetch,bursty
1773973955.864949,success,761.68,100,web_fetch,bursty
1773973955.896249,success,636.99,100,calculate,bursty
1773973955.927366,success,1455.98,100,mock_heavy,periodic
1773973955.928368,error,2.48,100,mock_heavy,periodic
1773973955.929076,error,2.31,100,calculate,periodic
1773973955.930192,rejected,1.76,100,mock_heavy,periodic
1773973955.973574,error,2.37,100,web_fetch,periodic
1773973956.082763,success,635.64,100,calculate,bursty
1773973956.145293,success,805.13,100,web_fetch,periodic
1773973956.146914,error,2.00,100,calculate,periodic
1773973956.177957,error,2.65,100,web_fetch,periodic
1773973956.237930,rejected,2.07,100,web_fetch,bursty
1773973956.424638,rejected,1.51,100,web_fetch,bursty
1773973956.486441,rejected,2.07,100,calculate,bursty
1773973956.533243,rejected,1.93,100,calculate,bursty
1773973956.533243,rejected,2.45,100,mock_heavy,bursty
1773973956.563505,rejected,1.72,100,calculate,bursty
1773973956.625330,rejected,2.28,100,web_fetch,bursty
1773973956.626071,rejected,2.60,100,mock_heavy,bursty
1773973956.627609,rejected,2.49,100,web_fetch,bursty
1773973956.628667,rejected,1.48,100,web_fetch,bursty
1773973956.655502,rejected,1.59,100,web_fetch,bursty
1773973956.716763,rejected,2.63,100,mock_heavy,bursty
1773973956.718399,rejected,1.59,100,mock_heavy,bursty
1773973956.733045,rejected,2.43,100,web_fetch,bursty
1773973956.734110,rejected,1.92,100,mock_heavy,bursty
1773973956.734935,rejected,1.65,100,web_fetch,bursty
1773973956.779243,rejected,1.00,100,mock_heavy,bursty
1773973956.825757,rejected,1.03,100,web_fetch,bursty
1773973956.871687,rejected,0.75,100,calculate,bursty
1773973956.917727,success,142.32,100,calculate,periodic
1773973956.918445,success,387.75,100,web_fetch,periodic
1773973956.919442,success,264.87,100,calculate,periodic
