profile,gateway_mode,gateway_args,workload,success,all_rejected,cascade_failed,success_sessions_per_s,effective_goodput_s
proxy_baseline_current(mean_of_3),mcpdp,--proxy-global-qps 65 --proxy-global-burst 400 --proxy-max-conc 55 --proxy-route-qps 35 --proxy-route-burst 100 --proxy-route-max-conc 20 --kong-session-qps 2 --kong-session-burst 5 --kong-session-ttl 300 --plangate-price-step 40 --plangate-max-sessions 30 --plangate-sunk-cost-alpha 0.5,"sessions=300,ps_ratio=0.5,heavy_ratio=0.3,budget=500,arrival_rate=50,duration=60,min_steps=default,max_steps=default,step_timeout=default",37.333333333333336,255.66666666666666,7.0,6.691642333333334,54.36022166666667
tput_latency_aligned(single_run),mcpdp,--plangate-price-step 40 --plangate-max-sessions 30 --plangate-sunk-cost-alpha 0.5,"sessions=300,ps_ratio=0.5,heavy_ratio=0.3,budget=500,arrival_rate=50,duration=90,min_steps=3,max_steps=7,step_timeout=2.0",38.0,260.0,2.0,7.236656,56.941057
