admitted_success_rate_delta,admitted_success_rate_delta_ci_high,admitted_success_rate_delta_ci_low,admitted_success_rate_va_mean,admitted_success_rate_vb_mean,avoided_replay_steps_delta,avoided_replay_steps_delta_ci_high,avoided_replay_steps_delta_ci_low,avoided_replay_steps_va_mean,avoided_replay_steps_vb_mean,cascade_failed_delta,cascade_failed_delta_ci_high,cascade_failed_delta_ci_low,cascade_failed_va_mean,cascade_failed_vb_mean,comparison,concurrency,duplicate_side_effect_delta,duplicate_side_effect_delta_ci_high,duplicate_side_effect_delta_ci_low,duplicate_side_effect_va_mean,duplicate_side_effect_vb_mean,effective_goodput_delta,effective_goodput_delta_ci_high,effective_goodput_delta_ci_low,effective_goodput_va_mean,effective_goodput_vb_mean,failure_rate,p95_ms_delta,p95_ms_delta_ci_high,p95_ms_delta_ci_low,p95_ms_va_mean,p95_ms_vb_mean,post_resume_success_delta,post_resume_success_delta_ci_high,post_resume_success_delta_ci_low,post_resume_success_va_mean,post_resume_success_vb_mean,resume_recovered_delta,resume_recovered_delta_ci_high,resume_recovered_delta_ci_low,resume_recovered_va_mean,resume_recovered_vb_mean,wasted_service_ms_delta,wasted_service_ms_delta_ci_high,wasted_service_ms_delta_ci_low,wasted_service_ms_va_mean,wasted_service_ms_vb_mean,wasted_tool_calls_delta,wasted_tool_calls_delta_ci_high,wasted_tool_calls_delta_ci_low,wasted_tool_calls_va_mean,wasted_tool_calls_vb_mean,workflow_success_rate_delta,workflow_success_rate_delta_ci_high,workflow_success_rate_delta_ci_low,workflow_success_rate_va_mean,workflow_success_rate_vb_mean
-0.082772,0.004787,-0.205711,0.762031,0.844803,5.666667,8.666667,2.0,10.0,4.333333,7.333333,11.0,4.666667,12.0,4.666667,plangate_adaptive_react_recovery_light_vs_default,50,0.0,0.0,0.0,0.0,0.0,4.3793,6.294567,1.967167,13.337767,8.958467,0.2,57.441667,120.732333,19.256333,630.650333,573.208667,2.0,2.666667,1.333333,3.666667,1.666667,2.0,2.666667,1.333333,3.666667,1.666667,261.6,1925.733333,-1402.533333,1693.833333,1432.233333,-1.666667,16.0,-18.666667,187.333333,189.0,0.065,0.088333,0.041667,0.193333,0.128333
-0.055556,0.0,-0.125,0.944444,1.0,0.0,0.0,0.0,0.0,0.0,2.666667,6.0,0.0,2.666667,0.0,plangate_adaptive_react_recovery_light_vs_default,100,0.0,0.0,0.0,0.0,0.0,4.932467,7.2368,2.871067,15.429633,10.497167,0.0,4.086667,77.680333,-69.507,648.994,644.907333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.4,344.1,0.0,182.4,0.0,-9.666667,-2.0,-18.0,160.333333,170.0,0.076667,0.09,0.06,0.226667,0.15
0.009722,0.070833,-0.056945,0.909722,0.9,-2.333333,1.0,-5.666667,3.333333,5.666667,1.333333,3.666667,-1.0,4.333333,3.0,plangate_adaptive_react_recovery_light_vs_default,100,0.0,0.0,0.0,0.0,0.0,5.6673,6.826833,4.646767,14.981567,9.314267,0.1,89.54,117.386,55.009667,652.805,563.265,-0.666667,0.0,-1.333333,0.666667,1.333333,-0.666667,0.0,-1.333333,0.666667,1.333333,-831.6,450.166667,-2217.6,454.866667,1286.466667,-16.666667,-6.0,-27.333333,165.666667,182.333333,0.083333,0.095,0.071667,0.218333,0.135
-0.043055,0.043056,-0.129167,0.868056,0.911111,-1.666667,11.333333,-14.666667,13.333333,15.0,3.666667,7.333333,0.333333,6.333333,2.666667,plangate_adaptive_react_recovery_light_vs_default,100,0.0,0.0,0.0,0.0,0.0,4.3833,6.715367,2.618267,13.729567,9.346267,0.2,114.812,214.146667,15.477333,579.802,464.99,-0.666667,1.333333,-2.666667,3.0,3.666667,-0.333333,2.0,-2.666667,3.333333,3.666667,1548.9,2021.833333,1179.266667,2101.466667,552.566667,-1.0,13.333333,-13.333333,178.0,179.0,0.071667,0.088333,0.053333,0.208333,0.136667
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plangate_adaptive_react_recovery_strict_vs_default,50,0.0,0.0,0.0,0.0,0.0,-4.584267,-4.019,-5.2175,5.666067,10.250333,0.0,-13.370333,8.527667,-35.268333,670.584667,683.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,184.0,170.0,-0.07,-0.07,-0.07,0.08,0.15
0.123611,0.2,0.0125,0.979167,0.855556,0.333333,4.333333,-3.666667,6.333333,6.0,-4.0,-1.0,-6.0,0.333333,4.333333,plangate_adaptive_react_recovery_strict_vs_default,50,0.0,0.0,0.0,0.0,0.0,-3.003767,-2.5387,-3.4191,6.174333,9.1781,0.1,-115.935667,-65.232667,-177.333333,512.381667,628.317333,0.0,0.666667,-0.666667,1.333333,1.333333,0.0,0.666667,-0.666667,1.333333,1.333333,-1089.466667,-485.0,-1794.933333,243.066667,1332.533333,0.333333,10.0,-7.333333,186.0,185.666667,-0.05,-0.04,-0.066667,0.078333,0.128333
-0.045783,0.15,-0.230455,0.79902,0.844803,-1.0,1.333333,-3.333333,3.333333,4.333333,-1.333333,2.666667,-5.333333,3.333333,4.666667,plangate_adaptive_react_recovery_strict_vs_default,50,0.0,0.0,0.0,0.0,0.0,-4.384633,-2.592367,-6.6825,4.573833,8.958467,0.2,-84.354,47.268,-259.490667,488.854667,573.208667,-0.333333,0.333333,-1.0,1.333333,1.666667,-0.333333,0.333333,-1.0,1.333333,1.666667,-487.733333,1051.8,-2062.5,944.5,1432.233333,8.0,26.0,-9.0,197.0,189.0,-0.063333,-0.043333,-0.085,0.065,0.128333
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plangate_adaptive_react_recovery_strict_vs_default,100,0.0,0.0,0.0,0.0,0.0,-4.939033,-3.771033,-5.925633,5.558133,10.497167,0.0,-113.931333,-44.102667,-183.76,530.976,644.907333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,184.0,170.0,-0.07,-0.07,-0.07,0.08,0.15
-0.044608,0.041176,-0.120834,0.855392,0.9,-5.0,-3.0,-7.333333,0.666667,5.666667,-0.666667,1.333333,-2.333333,2.333333,3.0,plangate_adaptive_react_recovery_strict_vs_default,100,0.0,0.0,0.0,0.0,0.0,-3.950567,-3.135133,-4.878733,5.3637,9.314267,0.1,-143.486667,-4.176333,-288.413667,419.778333,563.265,-1.0,-0.333333,-1.666667,0.333333,1.333333,-1.0,-0.333333,-1.666667,0.333333,1.333333,-456.933333,997.366667,-1970.766667,829.533333,1286.466667,10.0,20.0,0.666667,192.333333,182.333333,-0.065,-0.055,-0.075,0.07,0.135
0.047222,0.125,-0.018056,0.958333,0.911111,-7.333333,2.666667,-16.333333,7.666667,15.0,-2.0,-0.333333,-4.0,0.666667,2.666667,plangate_adaptive_react_recovery_strict_vs_default,100,0.0,0.0,0.0,0.0,0.0,-3.167633,-2.305667,-4.0296,6.178633,9.346267,0.2,-82.877,41.032333,-203.180667,382.113,464.99,-1.666667,0.0,-3.0,2.0,3.666667,-1.666667,0.0,-3.0,2.0,3.666667,-146.0,377.833333,-669.833333,406.566667,552.566667,8.333333,14.333333,2.333333,187.333333,179.0,-0.06,-0.048333,-0.068333,0.076667,0.136667
