admitted_success_rate_max,admitted_success_rate_mean,admitted_success_rate_min,admitted_success_rate_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,failure_rate,governance_intensity,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,p99_ms_max,p99_ms_mean,p99_ms_min,p99_ms_std,post_resume_success_max,post_resume_success_mean,post_resume_success_min,post_resume_success_std,react_recovered_success_max,react_recovered_success_mean,react_recovered_success_min,react_recovered_success_std,rejected_s0_capacity_max,rejected_s0_capacity_mean,rejected_s0_capacity_min,rejected_s0_capacity_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,success_max,success_mean,success_min,success_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
0.875,0.791667,0.729167,0.075116,0.0,0.0,0.0,0.0,13.0,10.0,6.0,3.605551,100,0.0,0.0,0.0,0.0,13.2841,12.425367,11.2711,1.038531,0.1,light,623.624,605.266667,592.702,16.2545,770.448,758.028333,748.916,11.140494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,42.0,38.0,35.0,3.605551,plangate_adaptive_light,2664.0,1693.866667,865.5,907.592366,199.0,185.333333,167.0,16.502525,0.21,0.19,0.175,0.018028
0.833333,0.756944,0.666667,0.084197,0.0,0.0,0.0,0.0,16.0,11.666667,8.0,4.041452,100,0.0,0.0,0.0,0.0,12.1682,11.995533,11.7719,0.203006,0.2,light,718.22,627.151,557.571,82.452157,778.964,776.874333,775.775,1.810525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,40.0,36.333333,32.0,4.041452,plangate_adaptive_light,6173.4,3343.0,1785.1,2455.348531,214.0,200.0,182.0,16.370706,0.2,0.181667,0.16,0.020207
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,10.8844,10.250333,9.6681,0.609804,0.0,default,698.491,683.955,667.06,15.847732,783.787,779.599,772.289,6.353044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,30.0,30.0,0.0,plangate_adaptive_react_recovery_default,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.15,0.15,0.15,0.0
0.966667,0.855556,0.8,0.096225,9.0,6.0,4.0,2.645751,6.0,4.333333,1.0,2.886751,50,0.0,0.0,0.0,0.0,9.2707,9.1781,9.1078,0.083708,0.1,default,693.494,628.317333,582.104,58.065816,785.682,768.131333,752.351,16.735873,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,3,29.0,25.666667,24.0,2.886751,plangate_adaptive_react_recovery_default,2038.0,1332.533333,953.8,611.505039,193.0,185.666667,176.0,8.736895,0.145,0.128333,0.12,0.014434
0.967742,0.844803,0.766667,0.107765,6.0,4.333333,3.0,1.527525,7.0,4.666667,1.0,3.21455,50,0.0,0.0,0.0,0.0,11.4429,8.958467,7.494,2.163031,0.2,default,611.394,573.208667,509.159,55.809691,775.296,767.446,760.305,7.520607,2.0,1.666667,1.0,0.57735,2.0,1.666667,1.0,0.57735,170.0,169.666667,169.0,0.57735,170.0,169.666667,169.0,0.57735,2.0,1.666667,1.0,0.57735,2.0,1.666667,1.0,0.57735,3,30.0,25.666667,23.0,3.785939,plangate_adaptive_react_recovery_default,3007.0,1432.233333,12.0,1503.468212,201.0,189.0,171.0,15.874508,0.15,0.128333,0.115,0.01893
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,11.5754,10.497167,9.3251,1.128081,0.0,default,709.786,644.907333,582.708,63.581355,790.391,784.862667,776.041,7.721085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,30.0,30.0,0.0,plangate_adaptive_react_recovery_default,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.15,0.15,0.15,0.0
0.966667,0.9,0.866667,0.057735,8.0,5.666667,4.0,2.081666,4.0,3.0,1.0,1.732051,100,0.0,0.0,0.0,0.0,9.7472,9.314267,8.808,0.473875,0.1,default,598.824,563.265,536.983,31.947212,777.124,757.894333,727.101,26.941862,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,3,29.0,27.0,26.0,1.732051,plangate_adaptive_react_recovery_default,2800.3,1286.466667,4.7,1412.174226,188.0,182.333333,172.0,8.962886,0.145,0.135,0.13,0.00866
0.966667,0.911111,0.833333,0.069389,24.0,15.0,4.0,10.148892,5.0,2.666667,1.0,2.081666,100,0.0,0.0,0.0,0.0,10.0899,9.346267,8.8698,0.652453,0.2,default,561.276,464.99,397.239,85.660487,721.651,707.567,698.934,12.30043,5.0,3.666667,2.0,1.527525,5.0,3.666667,2.0,1.527525,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,5.0,3.666667,2.0,1.527525,5.0,3.666667,2.0,1.527525,3,29.0,27.333333,25.0,2.081666,plangate_adaptive_react_recovery_default,836.0,552.566667,46.6,439.236728,185.0,179.0,173.0,6.0,0.145,0.136667,0.125,0.010408
0.979167,0.923218,0.811321,0.096906,0.0,0.0,0.0,0.0,10.0,4.0,1.0,5.196152,50,0.0,0.0,0.0,0.0,16.3087,14.998233,12.9983,1.759605,0.0,light,709.648,698.778667,691.674,9.56011,797.169,790.587667,785.974,5.851136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,150.333333,147.0,2.886751,152.0,150.333333,147.0,2.886751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,47.0,45.666667,43.0,2.309401,plangate_adaptive_react_recovery_light,28.5,11.633333,2.8,14.612438,167.0,158.333333,154.0,7.505553,0.235,0.228333,0.215,0.011547
0.877551,0.766876,0.673077,0.103276,9.0,4.666667,1.0,4.041452,17.0,12.333333,6.0,5.686241,50,0.0,0.0,0.0,0.0,13.3941,13.2434,13.0178,0.199017,0.1,light,729.691,687.136333,628.963,52.148725,795.096,786.376333,781.645,7.560585,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,151.0,147.666667,144.0,3.511885,151.0,147.666667,144.0,3.511885,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,3,43.0,40.0,35.0,4.358899,plangate_adaptive_react_recovery_light,1860.1,1043.6,48.4,918.974695,199.0,180.666667,171.0,15.885003,0.215,0.2,0.175,0.021794
