store,repeat,probe_id,session_id,workflow_id,workflow_type,failure_gateway,resume_gateway,cross_gateway,failure_after_step,side_effect_before_failure_present,resume_attempted,resume_recovered,resume_mode_react_client_cooperative,resume_current_step_gt_zero,resume_requires_client_continuation,resume_continuation_completed,post_resume_success,avoided_replay_steps,replayed_completed_side_effects,state_miss,final_state_consistent,failure_safe_state,passed
memory,1,0,sess-recovery-probe-memory-r1-p0,wf-recovery-probe-memory-r1-p0,order,http://127.0.0.1:19001,http://127.0.0.1:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,1,1,sess-recovery-probe-memory-r1-p1,wf-recovery-probe-memory-r1-p1,order,http://127.0.0.1:19003,http://127.0.0.1:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,1,2,sess-recovery-probe-memory-r1-p2,wf-recovery-probe-memory-r1-p2,order,http://127.0.0.1:19003,http://127.0.0.1:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
