store,repeat,table_name,row_count,unique_idempotency_keys,duplicate_idempotency_keys,duplicate_side_effect_rows,db_integrity_check
memory,0,orders,18,18,0,0,ok
memory,0,reservations,9,9,0,0,ok
memory,0,payments,5,5,0,0,ok
memory,0,tickets,7,7,0,0,ok
memory,0,idempotency_keys,39,39,0,0,ok
memory,0,workflow_events,0,0,0,0,ok
