gateway,runs,selected_tasks_mean,duration_s_mean,success_mean,success_rate_mean,abd_mean,abd_total_mean,cascade_failed_mean,cascade_rate_mean,all_rejected_mean,step0_rejected_mean,effective_goodput_s_mean,p50_ms_mean,p95_ms_mean,client_rc_mean,client_timed_out_mean
ng,3,30.0,11.469,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.262017,186.956667,899.936,0.0,0.0
plangate_relaxed,3,30.0,8.481333,19.333333,64.444667,21.376667,21.376667,5.0,16.666667,5.666667,5.666667,43.701139,159.384667,870.952,0.0,0.0
pp,3,30.0,11.526,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.005967,177.774333,907.806667,0.0,0.0
rajomon,3,30.0,11.189333,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.470867,189.540667,904.844667,0.0,0.0
static,3,30.0,11.239,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.284757,172.456,905.354,0.0,0.0
