comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_vs_strict,20,0.2,1.4,cascade_failed,,5,,,5,,,,8.4,6.4,7.4,,,,,,,7.2,4.8,6.0
adaptive_vs_strict,20,0.2,455.96,wasted_service_ms,,5,,,5,,,,3656.16,2299.58,2978.42,,,,,,,3362.02,1359.86,2522.46
adaptive_vs_strict,20,0.2,-0.002,workflow_success_rate,,5,,,5,,,,0.158,0.14,0.149,,,,,,,0.16,0.142,0.151
adaptive_vs_strict,20,0.2,-0.033635,admitted_success_rate,,5,,,5,,,,0.829444,0.772087,0.800765,,,,,,,0.868468,0.800466,0.8344
adaptive_vs_strict,20,0.2,-90.2488,p95_ms,,5,,,5,,,,515.6968,463.3888,489.5428,,,,,,,631.8468,522.9556,579.7916
adaptive_vs_strict,50,0.0,0.0,rejected_s0,,5,,,5,,,,170.0,170.0,170.0,,,,,,,170.0,170.0,170.0
adaptive_vs_strict,50,0.0,0.0,step0_reject_rate,,5,,,5,,,,0.85,0.85,0.85,,,,,,,0.85,0.85,0.85
adaptive_vs_strict,50,0.0,1.6,cascade_failed,,5,,,5,,,,2.8,0.4,1.6,,,,,,,0.0,0.0,0.0
adaptive_vs_strict,50,0.0,108.88,wasted_service_ms,,5,,,5,,,,256.66,1.06,108.88,,,,,,,0.0,0.0,0.0
adaptive_vs_strict,50,0.0,-0.008,workflow_success_rate,,5,,,5,,,,0.148,0.136,0.142,,,,,,,0.15,0.15,0.15
adaptive_vs_strict,50,0.0,-0.053333,admitted_success_rate,,5,,,5,,,,0.986667,0.906667,0.946667,,,,,,,1.0,1.0,1.0
adaptive_vs_strict,50,0.0,-128.961,p95_ms,,5,,,5,,,,479.3348,257.9572,368.646,,,,,,,540.9094,451.5264,497.607
adaptive_vs_strict,50,0.1,0.2,rejected_s0,,5,,,5,,,,170.0,170.0,170.0,,,,,,,170.0,169.4,169.8
adaptive_vs_strict,50,0.1,0.001,step0_reject_rate,,5,,,5,,,,0.85,0.85,0.85,,,,,,,0.85,0.847,0.849
adaptive_vs_strict,50,0.1,-1.4,cascade_failed,,5,,,5,,,,2.6,1.4,2.0,,,,,,,4.4,2.2,3.4
adaptive_vs_strict,50,0.1,-544.88,wasted_service_ms,,5,,,5,,,,1115.54,287.6,642.84,,,,,,,2243.9,468.26,1187.72
adaptive_vs_strict,50,0.1,0.006,workflow_success_rate,,5,,,5,,,,0.143,0.137,0.14,,,,,,,0.14,0.129,0.134
adaptive_vs_strict,50,0.1,0.045806,admitted_success_rate,,5,,,5,,,,0.953333,0.913333,0.933333,,,,,,,0.928387,0.853333,0.887527
