store,repeat,probe_id,session_id,workflow_id,workflow_type,failure_gateway,resume_gateway,cross_gateway,failure_after_step,side_effect_before_failure_present,resume_attempted,resume_recovered,resume_mode_react_client_cooperative,resume_current_step_gt_zero,resume_requires_client_continuation,resume_continuation_completed,post_resume_success,avoided_replay_steps,replayed_completed_side_effects,state_miss,final_state_consistent,failure_safe_state,passed,completed_side_effect_step_id,completed_side_effect_idempotency_key,resume_response_current_step,resume_response_completed_steps,db_side_effect_count_before_resume,db_side_effect_count_after_resume
memory,2,0,sess-recovery-probe-memory-r2-p0,wf-recovery-probe-memory-r2-p0,order,http://10.10.1.2:19001,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r2-p0:wf-recovery-probe-memory-r2-p0:0:reserve_inventory,0,0,1,1
memory,2,1,sess-recovery-probe-memory-r2-p1,wf-recovery-probe-memory-r2-p1,order,http://10.10.1.2:19001,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r2-p1:wf-recovery-probe-memory-r2-p1:0:reserve_inventory,0,0,1,1
memory,2,2,sess-recovery-probe-memory-r2-p2,wf-recovery-probe-memory-r2-p2,order,http://10.10.1.3:19002,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r2-p2:wf-recovery-probe-memory-r2-p2:0:reserve_inventory,0,0,1,1
memory,3,0,sess-recovery-probe-memory-r3-p0,wf-recovery-probe-memory-r3-p0,order,http://10.10.1.2:19001,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r3-p0:wf-recovery-probe-memory-r3-p0:0:reserve_inventory,0,0,1,1
memory,3,1,sess-recovery-probe-memory-r3-p1,wf-recovery-probe-memory-r3-p1,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r3-p1:wf-recovery-probe-memory-r3-p1:0:reserve_inventory,0,0,1,1
memory,3,2,sess-recovery-probe-memory-r3-p2,wf-recovery-probe-memory-r3-p2,order,http://10.10.1.3:19002,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r3-p2:wf-recovery-probe-memory-r3-p2:0:reserve_inventory,0,0,1,1
memory,4,0,sess-recovery-probe-memory-r4-p0,wf-recovery-probe-memory-r4-p0,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r4-p0:wf-recovery-probe-memory-r4-p0:0:reserve_inventory,0,0,1,1
memory,4,1,sess-recovery-probe-memory-r4-p1,wf-recovery-probe-memory-r4-p1,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r4-p1:wf-recovery-probe-memory-r4-p1:0:reserve_inventory,0,0,1,1
memory,4,2,sess-recovery-probe-memory-r4-p2,wf-recovery-probe-memory-r4-p2,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r4-p2:wf-recovery-probe-memory-r4-p2:0:reserve_inventory,0,0,1,1
memory,5,0,sess-recovery-probe-memory-r5-p0,wf-recovery-probe-memory-r5-p0,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r5-p0:wf-recovery-probe-memory-r5-p0:0:reserve_inventory,0,0,1,1
memory,5,1,sess-recovery-probe-memory-r5-p1,wf-recovery-probe-memory-r5-p1,order,http://10.10.1.2:19001,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r5-p1:wf-recovery-probe-memory-r5-p1:0:reserve_inventory,0,0,1,1
memory,5,2,sess-recovery-probe-memory-r5-p2,wf-recovery-probe-memory-r5-p2,order,http://10.10.1.3:19002,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,True,False,,sess-recovery-probe-memory-r5-p2:wf-recovery-probe-memory-r5-p2:0:reserve_inventory,0,0,1,1
