store,repeats,probe_count,cross_gateway_count,resume_attempted_count,resume_recovered_count,resume_recovered_rate,state_miss_count,state_miss_rate,post_resume_success_count,post_resume_success_rate,replayed_completed_side_effect_count,duplicate_side_effect_count,final_state_consistent_count,failure_safe_state_count,passed_count,passed_rate
redis,5,15,15,15,15,1.0,0,0.0,15,1.0,0,0,15,15,15,1.0
memory,5,15,15,15,0,0.0,15,1.0,15,1.0,0,0,15,15,0,0.0
