gateway,concurrency,runs,success_mean,success_std,partial_mean,rej0_mean,cascade_mean,cascade_steps_mean,abd_mean,cascade_admitted_pct_mean,abd_ci95,cascade_admitted_pct_ci95,success_sessions_per_s_mean,success_sessions_per_s_std,success_sessions_per_s_ci95,effective_goodput_s_mean,effective_goodput_s_std,effective_goodput_s_ci95,p95_success_s_mean,p95_success_s_std,p95_success_s_ci95
envoy_approx,20,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.230715,0.011539,0.028668,70.16204,0.111971,0.278174,4.859457,0.056778,0.141056
envoy_approx,40,3,145.6667,12.2202,0.0,40.3333,114.0,266.0,43.8763,43.8763,11.9569,11.9569,4.73043,0.214447,0.532759,40.944627,1.595682,3.964215,8.526797,0.448212,1.11351
envoy_approx,80,3,42.3333,4.0415,0.0,200.3333,57.3333,86.6667,57.259,57.259,16.0261,16.0261,4.458254,0.489718,1.216625,35.936107,2.923446,7.262829,6.933387,0.156578,0.388992
kong_approx,20,3,299.0,0.0,0.0,0.0,1.0,5.0,0.333,0.333,0.0,0.0,7.232264,0.033268,0.082649,70.169896,0.322778,0.801889,4.802063,0.019718,0.048985
kong_approx,40,3,148.0,4.3589,0.0,38.6667,113.3333,257.0,43.3437,43.3437,5.922,5.922,4.75366,0.227534,0.565271,41.487613,1.412869,3.510046,8.565753,0.265892,0.660566
kong_approx,80,3,36.6667,4.6188,0.0,192.3333,71.0,103.6667,65.8083,65.8083,13.209,13.209,3.567673,0.552039,1.371452,28.421807,1.596915,3.967276,5.959923,0.385903,0.958712
ng,20,3,293.6667,10.9697,0.0,1.0,5.3333,12.6667,1.7957,1.7957,7.7268,7.7268,6.804361,0.725766,1.803049,65.871853,7.307588,18.15452,5.198363,0.587384,1.45926
ng,40,3,158.6667,4.0415,0.0,37.3333,104.0,235.6667,39.4723,39.4723,10.4899,10.4899,4.908206,0.175733,0.436581,43.261473,2.078655,5.164082,8.593053,0.247301,0.61438
ng,80,3,35.3333,0.5774,0.0,199.0,65.6667,94.6667,64.8613,64.8613,7.2257,7.2257,3.533094,0.289962,0.720363,29.49066,1.620645,4.02623,6.051113,0.298916,0.742609
plangate_full,20,3,37.3333,2.5166,0.0,255.6667,7.0,7.0,13.9277,13.9277,41.9211,41.9211,6.691642,0.349982,0.869475,54.360222,7.718535,19.175452,3.433883,0.324175,0.80536
plangate_full,40,3,35.0,1.0,0.0,258.6667,6.3333,6.3333,13.5887,13.5887,35.6165,35.6165,6.26432,0.090046,0.223706,55.739939,1.128991,2.804795,3.427057,0.073369,0.182274
plangate_full,80,3,33.6667,2.0817,0.0,258.6667,7.6667,7.6667,18.3143,18.3143,10.4793,10.4793,5.877901,0.288867,0.717643,51.805221,0.785053,1.950336,3.48246,0.423521,1.052169
sbac,20,3,76.0,0.0,0.0,223.6667,0.3333,1.6667,0.433,0.433,1.8632,1.8632,6.341502,0.011528,0.02864,63.720796,0.610455,1.516578,4.785863,0.123441,0.306668
sbac,40,3,40.6667,0.5774,0.0,246.6667,12.6667,23.0,23.748,23.748,2.4455,2.4455,5.271103,0.648693,1.611572,56.67439,4.958169,12.317767,6.997147,0.319573,0.793928
sbac,80,3,44.6667,2.0817,0.0,244.0,11.3333,16.0,20.1853,20.1853,3.9305,3.9305,6.233584,0.2849,0.707787,60.505617,2.181271,5.419014,6.31099,0.243868,0.60585
srl,20,3,299.0,1.7321,0.0,0.3333,0.6667,2.3333,0.223,0.223,0.9596,0.9596,7.204836,0.008487,0.021084,69.887551,0.084133,0.209015,4.852653,0.06297,0.156439
srl,40,3,42.6667,5.1316,0.0,236.3333,21.0,46.6667,32.9483,32.9483,20.2536,20.2536,5.750175,0.583537,1.449702,48.948486,0.747618,1.857337,3.991843,0.316356,0.785934
srl,80,3,45.3333,1.5275,0.0,230.0,24.6667,55.3333,35.053,35.053,9.5225,9.5225,5.601781,0.219026,0.544135,46.45879,1.541993,3.830831,3.744847,0.237746,0.590641
