store,repeat,probe_count,cross_gateway_count,resume_recovered_count,state_miss_count,post_resume_success_count,replayed_completed_side_effects,passed_count,db_final_state_consistent
redis,1,2,2,2,0,2,0,2,1
redis,2,2,2,2,0,2,0,2,1
memory,1,2,2,0,2,2,0,0,1
memory,2,2,2,0,2,2,0,0,1
