gateway,window_id,window_label,scale,repeat,selected_trace_rows,duration_s,success,success_rate,abd,abd_total,cascade_failed,cascade_rate,all_rejected,step0_rejected,effective_goodput_s,p50_ms,p95_ms,client_rc,client_timed_out,error,backend_mode,source_trace_sha256
ng,normal,normal,1.0,1,24,19.576,24,100.0,0.0,0.0,0,0.0,0,0,15.886659,155.208,805.841,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.0,2,24,17.227,24,100.0,0.0,0.0,0,0.0,0,0,10.797308,155.075,805.754,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.0,3,24,18.347,24,100.0,0.0,0.0,0,0.0,0,0,12.26383,155.994,806.303,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,1,24,12.716,23,95.833,0.0,0.0,0,0.0,1,1,15.492053,155.683,806.54,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,2,24,12.706,24,100.0,0.0,0.0,0,0.0,0,0,17.550956,155.252,806.327,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,3,24,13.052,24,100.0,0.0,0.0,0,0.0,0,0,20.073784,155.948,807.182,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,1,24,11.015,23,95.833,0.0,0.0,0,0.0,1,1,19.428847,155.759,807.649,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,2,24,12.306,24,100.0,0.0,0.0,0,0.0,0,0,18.770825,155.434,806.21,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,3,24,12.338,23,95.833,0.0,0.0,0,0.0,1,1,21.397518,155.874,806.187,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,1,24,8.95,24,100.0,0.0,0.0,0,0.0,0,0,28.157677,156.202,807.59,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,2,24,8.404,24,100.0,0.0,0.0,0,0.0,0,0,29.511212,155.859,806.649,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,3,24,8.782,24,100.0,0.0,0.0,0,0.0,0,0,28.695703,156.354,807.373,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,1,24,6.771,24,100.0,0.0,0.0,0,0.0,0,0,34.11529,156.075,806.635,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,2,24,7.342,24,100.0,0.0,0.0,0,0.0,0,0,34.050035,155.393,806.375,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,3,24,5.589,24,100.0,0.0,0.0,0,0.0,0,0,33.101229,155.802,806.524,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,1,24,5.901,24,100.0,0.0,0.0,0,0.0,0,0,37.280381,154.174,806.167,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,2,24,6.329,24,100.0,0.0,0.0,0,0.0,0,0,40.130724,155.977,806.963,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,3,24,6.987,24,100.0,0.0,0.0,0,0.0,0,0,34.065396,156.015,806.567,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,1,24,7.448,24,100.0,0.0,0.0,0,0.0,0,0,36.385507,156.353,807.462,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,2,24,4.812,24,100.0,0.0,0.0,0,0.0,0,0,44.883808,156.016,806.427,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,3,24,6.144,24,100.0,0.0,0.0,0,0.0,0,0,45.246432,155.519,807.486,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,1,24,4.665,24,100.0,0.0,0.0,0,0.0,0,0,39.655819,154.031,805.233,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,2,24,4.681,23,95.833,4.167,4.167,1,4.167,0,0,40.379038,155.776,806.877,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,3,24,5.016,22,91.667,0.0,0.0,0,0.0,2,2,40.867952,155.277,806.28,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,1,24,5.172,24,100.0,0.0,0.0,0,0.0,0,0,40.79345,156.013,806.991,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,2,24,3.893,24,100.0,0.0,0.0,0,0.0,0,0,51.119812,155.839,806.772,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,3,24,5.158,24,100.0,0.0,0.0,0,0.0,0,0,45.75206,155.712,806.605,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,1,24,17.447,24,100.0,0.0,0.0,0,0.0,0,0,11.692671,155.676,808.461,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,2,24,17.195,24,100.0,0.0,0.0,0,0.0,0,0,11.980033,155.98,806.561,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,3,24,17.076,24,100.0,0.0,0.0,0,0.0,0,0,11.126969,156.208,807.353,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.5,1,24,14.978,24,100.0,0.0,0.0,0,0.0,0,0,20.163319,156.655,808.937,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.5,2,24,13.537,24,100.0,0.0,0.0,0,0.0,0,0,16.620729,155.982,807.737,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.5,3,24,13.361,24,100.0,0.0,0.0,0,0.0,0,0,17.363343,156.254,807.339,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,2.0,1,24,12.477,24,100.0,0.0,0.0,0,0.0,0,0,21.399715,156.11,806.819,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,2.0,2,24,10.864,24,100.0,0.0,0.0,0,0.0,0,0,20.157717,155.449,806.278,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,2.0,3,24,10.738,24,100.0,0.0,0.0,0,0.0,0,0,21.418844,155.733,806.509,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.0,1,24,10.547,24,100.0,0.0,0.0,0,0.0,0,0,28.348841,156.815,807.038,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.0,2,24,8.775,24,100.0,0.0,0.0,0,0.0,0,0,23.930849,155.424,806.702,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.0,3,24,8.072,24,100.0,0.0,0.0,0,0.0,0,0,28.987574,156.282,807.253,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.5,1,24,5.999,24,100.0,0.0,0.0,0,0.0,0,0,36.170437,155.394,806.073,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.5,2,24,8.237,24,100.0,0.0,0.0,0,0.0,0,0,38.486731,156.043,806.653,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,1.5,3,24,7.716,24,100.0,0.0,0.0,0,0.0,0,0,30.326226,155.547,806.324,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,2.0,1,24,5.948,24,100.0,0.0,0.0,0,0.0,0,0,43.210593,156.726,807.491,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,2.0,2,24,8.288,24,100.0,0.0,0.0,0,0.0,0,0,29.440136,156.051,806.828,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,burst,burst,2.0,3,24,6.948,24,100.0,0.0,0.0,0,0.0,0,0,33.823107,155.931,806.46,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,peak_burst,peak-burst,1.0,1,24,6.143,24,100.0,0.0,0.0,0,0.0,0,0,47.207593,156.256,807.684,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,peak_burst,peak-burst,1.0,2,24,5.347,23,95.833,0.0,0.0,0,0.0,1,1,45.072782,156.495,807.566,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,peak_burst,peak-burst,1.0,3,24,4.013,23,95.833,0.0,0.0,0,0.0,1,1,46.842165,155.876,809.515,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
