gateway,run,concurrency,sessions,success,partial,all_rejected,cascade_failed,cascade_steps,abd_total,cascade_admitted_pct,effective_goodput_s,p95_success_s
ng,1,20,60,25,0,12,23,44,47.917,47.917,19.908085,7.97256
plangate_full,1,20,60,0,0,56,4,4,100.0,100.0,0.0,0.0
