gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
plangate_full,1,,,85,414,1,729.0,724.0,61.12,60.71,4.4,969.2,1451.9,1818.1,4546.3,5532.8,0.9196,0.6545,plangate_full_run1.csv,
wo_budgetlock,1,,,21,470,9,151.0,118.0,14.65,11.44,2.6,156.9,808.5,474.2,1131.0,1374.2,0.9547,0.7253,wo_budgetlock_run1.csv,
wo_sessioncap,1,,,69,431,0,602.0,602.0,59.01,59.01,3.4,1007.0,1554.6,2362.8,4909.9,5778.7,0.9125,0.7174,wo_sessioncap_run1.csv,
