experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp6_ScaleConcReact,plangate_full,3,conc,60,21.23,21.23,30,170,0,810.2,3416.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,4,conc,60,20.02,20.02,30,170,0,808.9,2454.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,5,conc,60,24.39,24.39,30,170,0,810.1,3264.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp10_Adversarial,ng,1,,,39.52,18.8,31,312,157,1978.9,9236.6,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,ng,2,,,36.12,15.88,31,303,166,1978.5,8194.6,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,ng,3,,,36.64,16.27,28,312,160,1983.5,9339.7,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,ng,4,,,39.15,19.82,26,309,165,1977.2,9753.6,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,ng,5,,,38.02,20.16,36,308,156,1945.5,9431.2,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,srl,1,,,48.18,23.57,37,327,136,1905.8,9774.6,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,srl,2,,,47.57,23.05,38,328,134,1919.2,9789.9,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,srl,3,,,48.45,22.78,39,314,147,1906.8,9896.0,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,srl,4,,,46.37,21.58,33,319,148,1919.0,12379.4,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,srl,5,,,47.34,24.36,50,321,129,1930.5,10341.7,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,sbac,1,,,51.44,43.91,62,392,46,1417.6,13061.5,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,sbac,2,,,55.94,44.88,62,384,54,1363.5,6265.7,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,sbac,3,,,54.79,45.13,61,389,50,1399.5,7456.3,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,sbac,4,,,55.38,46.84,61,388,51,1287.5,8369.3,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,sbac,5,,,51.49,42.75,68,381,51,1441.2,7759.4,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,plangate_full,1,,,58.46,58.46,86,414,0,827.5,6425.0,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,plangate_full,2,,,57.73,57.73,84,416,0,1109.9,8115.2,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,plangate_full,3,,,53.4,52.92,85,413,2,1127.4,9968.5,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,plangate_full,4,,,61.57,61.57,91,409,0,1324.9,12723.0,results/exp10_adversarial/exp10_adversarial_summary.csv
Exp10_Adversarial,plangate_full,5,,,55.72,55.72,70,430,0,809.7,6495.7,results/exp10_adversarial/exp10_adversarial_summary.csv
