experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp5_ScaleConc,ng,1,conc,20,68.03,68.03,200,0,0,1214.8,4932.6,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,2,conc,20,67.63,67.63,199,1,0,1268.3,4989.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,3,conc,20,68.29,68.29,200,0,0,1213.3,4997.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,4,conc,20,67.95,67.95,200,0,0,1215.0,4957.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,5,conc,20,68.36,68.36,200,0,0,1193.8,4784.9,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,1,conc,20,68.14,68.14,200,0,0,1222.6,5009.6,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,2,conc,20,67.96,67.96,200,0,0,1205.9,4956.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,3,conc,20,68.15,68.15,200,0,0,1203.0,4996.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,4,conc,20,67.95,67.95,200,0,0,1227.0,4879.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,5,conc,20,68.37,68.37,200,0,0,1221.9,4787.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,1,conc,20,68.29,68.29,200,0,0,1198.9,4972.3,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,2,conc,20,67.92,67.92,200,0,0,1235.7,4952.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,3,conc,20,68.19,68.19,200,0,0,1217.3,4913.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,4,conc,20,68.0,68.0,200,0,0,1234.5,4878.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,5,conc,20,68.03,68.03,200,0,0,1200.1,4817.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
