gateway,run_idx,success,partial,all_rejected,error,cascade_failed,effective_goodput,effective_goodput_s,recovery_attempts,recovery_success,amendment_attempts,amendment_success,commitment_issued,v2_commitment_issued,commitment_required,client_rc,client_timed_out,csv,failure_rate,amendment_rate
wo_commitment,1,186,10,4,,14,186,10.2023,48,34,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_commitment\run1\plangate_ar\sessions.csv,0.2,0.1
wo_commitment,2,182,14,4,,18,182,10.0015,47,29,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_commitment\run2\plangate_ar\sessions.csv,0.2,0.1
wo_commitment,3,184,12,4,,16,184,10.0585,45,29,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_commitment\run3\plangate_ar\sessions.csv,0.2,0.1
wo_recovery,1,159,37,4,,41,159,32.0482,41,0,4,0,198,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_recovery\run1\plangate_ar\sessions.csv,0.2,0.1
wo_recovery,2,158,38,4,,42,158,31.4491,42,0,4,0,197,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_recovery\run2\plangate_ar\sessions.csv,0.2,0.1
wo_recovery,3,150,46,4,,50,150,29.4649,50,0,4,0,184,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_recovery\run3\plangate_ar\sessions.csv,0.2,0.1
plangate_full,1,196,4,0,,4,196,10.8742,43,39,8,8,197,8,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\plangate_full\run1\plangate_ar\sessions.csv,0.2,0.2
plangate_full,2,190,9,1,,10,190,10.5115,46,36,8,7,194,7,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\plangate_full\run2\plangate_ar\sessions.csv,0.2,0.2
plangate_full,3,189,9,2,,11,189,10.4011,44,33,8,6,196,6,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\plangate_full\run3\plangate_ar\sessions.csv,0.2,0.2
wo_amendment,1,180,12,8,,20,180,9.8121,49,29,8,0,191,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_amendment\run1\plangate_ar\sessions.csv,0.2,0.2
