beta,n_runs,success,step0_reject,partial,abd_react,cascade,effective_goodput,p50_ms,p95_ms,jfi,succ_pct,success_std,step0_reject_std,partial_std,abd_react_std,cascade_std,effective_goodput_std,p50_ms_std,p95_ms_std,jfi_std
0.0,5,30,456.8,13.2,30.4,13.2,24.669999999999998,2.64,800.38,0.79314,6.0,0.0,2.16794833886788,2.16794833886788,3.5071355833500353,2.16794833886788,2.9016977788873883,0.11401754250991375,89.2239990137183,0.028050008912654554
0.5,5,30,457.8,12.2,28.42,12.2,23.654,2.52,806.84,0.76806,6.0,0.0,4.024922359499621,4.024922359499621,6.629253351622639,4.024922359499621,0.8632380899844501,0.16431676725154998,1.0691117808723107,0.020753264803398983
1.0,5,30,456,14,31.42,14,23.764,2.66,831.64,0.76276,6.0,0.0,3.7416573867739413,3.7416573867739413,6.076347587161222,3.7416573867739413,1.231698014937104,0.08944271909999167,54.113704364051806,0.02790256260632701
2.0,5,30,459.2,10.8,25.78,10.8,23.414,2.66,758.02,0.7742600000000001,6.0,0.0,4.54972526643093,4.54972526643093,8.005435653354539,4.54972526643093,1.9044500518522407,0.05477225575051666,127.1648418392442,0.004519734505477071
3.0,5,30,459.2,10.8,26.14,10.8,22.954,2.62,820.9399999999999,0.7431800000000001,6.0,0.0,2.9495762407505253,2.9495762407505253,5.688409267976417,2.9495762407505253,2.0110892570942744,0.044721359549995836,30.763663630978655,0.023416383153681122
