variant,concurrency,failure_rate,runs,success_mean,success_std,cascade_failed_mean,cascade_failed_std,partial_mean,partial_std,workflow_success_rate_mean,workflow_success_rate_std,p95_ms_mean,p95_ms_std,duplicate_side_effect_mean,duplicate_side_effect_std,resume_recovered_mean,resume_recovered_std,avoided_replay_steps_mean,avoided_replay_steps_std,post_resume_success_mean,post_resume_success_std,restart_attempted_mean,restart_attempted_std,retry_attempted_mean,retry_attempted_std,replayed_completed_steps_mean,replayed_completed_steps_std,http_requests_total_mean,http_requests_total_std,sqlite_writes_total_mean,sqlite_writes_total_std
idempotency_only_retry,10,0.1,3,24.666667,2.081666,0.0,0.0,5.333333,2.081666,0.822222,0.069389,181.947333,14.298125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333,2.081666,10.0,5.0,7.666667,3.511885,107.666667,8.504901,1015.0,0.0
idempotency_only_retry,20,0.1,3,24.666667,2.886751,0.0,0.0,5.333333,2.886751,0.822222,0.096225,312.569,3.607421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333,2.886751,10.0,2.0,8.0,4.358899,108.0,6.082763,1015.0,0.0
plangate_adaptive_react_recovery,10,0.1,3,26.333333,0.57735,0.0,0.0,0.0,0.0,0.877778,0.019245,178.805333,10.131588,0.0,0.0,5.666667,4.618802,8.0,6.082763,5.666667,4.618802,0.0,0.0,0.0,0.0,0.0,0.0,92.0,4.358899,1015.0,0.0
plangate_adaptive_react_recovery,20,0.1,3,27.333333,1.527525,0.0,0.0,0.0,0.0,0.911111,0.050918,313.492667,8.455522,0.0,0.0,4.0,1.732051,6.0,2.645751,4.0,1.732051,0.0,0.0,0.0,0.0,0.0,0.0,91.333333,0.57735,1015.0,0.0
