variant,repeat,table_name,row_count,unique_idempotency_keys,duplicate_idempotency_keys,duplicate_side_effect_rows,db_integrity_check
_db,0,orders,341,341,0,0,ok
_db,0,reservations,246,246,0,0,ok
_db,0,payments,223,223,0,0,ok
_db,0,tickets,205,205,0,0,ok
_db,0,idempotency_keys,1015,1015,0,0,ok
_db,0,workflow_events,0,0,0,0,ok
