target,mode,concurrency,cohort,gateway_latency_us,cdf
plangate_full,plan_and_solve,10,all_requests,237.000,0.033094
plangate_full,plan_and_solve,10,all_requests,238.000,0.033406
plangate_full,plan_and_solve,10,all_requests,257.000,0.033718
plangate_full,plan_and_solve,10,all_requests,274.000,0.034031
plangate_full,plan_and_solve,10,all_requests,277.000,0.034343
plangate_full,plan_and_solve,10,all_requests,277.000,0.034655
plangate_full,plan_and_solve,10,all_requests,279.000,0.034967
plangate_full,plan_and_solve,10,all_requests,280.000,0.035279
plangate_full,plan_and_solve,10,all_requests,282.000,0.035592
plangate_full,plan_and_solve,10,all_requests,283.000,0.035904
plangate_full,plan_and_solve,10,all_requests,294.000,0.036216
plangate_full,plan_and_solve,10,all_requests,301.000,0.036528
plangate_full,plan_and_solve,10,all_requests,307.000,0.036840
plangate_full,plan_and_solve,10,all_requests,307.000,0.037153
plangate_full,plan_and_solve,10,all_requests,322.000,0.037465
plangate_full,plan_and_solve,10,all_requests,330.000,0.037777
plangate_full,plan_and_solve,10,all_requests,355.000,0.038089
plangate_full,plan_and_solve,10,all_requests,357.000,0.038401
plangate_full,plan_and_solve,10,all_requests,380.000,0.038714
plangate_full,plan_and_solve,10,all_requests,385.000,0.039026
plangate_full,plan_and_solve,10,all_requests,400.000,0.039338
plangate_full,plan_and_solve,10,all_requests,405.000,0.039650
plangate_full,plan_and_solve,10,all_requests,410.000,0.039963
plangate_full,plan_and_solve,10,all_requests,419.000,0.040275
plangate_full,plan_and_solve,10,all_requests,431.000,0.040587
plangate_full,plan_and_solve,10,all_requests,434.000,0.040899
plangate_full,plan_and_solve,10,all_requests,434.000,0.041211
plangate_full,plan_and_solve,10,all_requests,438.000,0.041524
plangate_full,plan_and_solve,10,all_requests,451.000,0.041836
plangate_full,plan_and_solve,10,all_requests,452.000,0.042148
plangate_full,plan_and_solve,10,all_requests,457.000,0.042460
plangate_full,plan_and_solve,10,all_requests,459.000,0.042772
plangate_full,plan_and_solve,10,all_requests,466.000,0.043085
plangate_full,plan_and_solve,10,all_requests,480.000,0.043397
plangate_full,plan_and_solve,10,all_requests,496.000,0.043709
plangate_full,plan_and_solve,10,all_requests,512.000,0.044021
plangate_full,plan_and_solve,10,all_requests,513.000,0.044333
plangate_full,plan_and_solve,10,all_requests,514.000,0.044646
plangate_full,plan_and_solve,10,all_requests,514.000,0.044958
plangate_full,plan_and_solve,10,all_requests,515.000,0.045270
plangate_full,plan_and_solve,10,all_requests,516.000,0.045582
plangate_full,plan_and_solve,10,all_requests,516.000,0.045894
plangate_full,plan_and_solve,10,all_requests,516.000,0.046207
plangate_full,plan_and_solve,10,all_requests,516.000,0.046519
plangate_full,plan_and_solve,10,all_requests,516.000,0.046831
plangate_full,plan_and_solve,10,all_requests,516.000,0.047143
plangate_full,plan_and_solve,10,all_requests,517.000,0.047456
plangate_full,plan_and_solve,10,all_requests,517.000,0.047768
plangate_full,plan_and_solve,10,all_requests,517.000,0.048080
plangate_full,plan_and_solve,10,all_requests,517.000,0.048392
plangate_full,plan_and_solve,10,all_requests,517.000,0.048704
plangate_full,plan_and_solve,10,all_requests,518.000,0.049017
plangate_full,plan_and_solve,10,all_requests,518.000,0.049329
plangate_full,plan_and_solve,10,all_requests,518.000,0.049641
plangate_full,plan_and_solve,10,all_requests,518.000,0.049953
plangate_full,plan_and_solve,10,all_requests,519.000,0.050265
plangate_full,plan_and_solve,10,all_requests,519.000,0.050578
plangate_full,plan_and_solve,10,all_requests,520.000,0.050890
plangate_full,plan_and_solve,10,all_requests,520.000,0.051202
plangate_full,plan_and_solve,10,all_requests,520.000,0.051514
plangate_full,plan_and_solve,10,all_requests,520.000,0.051826
plangate_full,plan_and_solve,10,all_requests,521.000,0.052139
plangate_full,plan_and_solve,10,all_requests,522.000,0.052451
plangate_full,plan_and_solve,10,all_requests,522.000,0.052763
plangate_full,plan_and_solve,10,all_requests,522.000,0.053075
plangate_full,plan_and_solve,10,all_requests,523.000,0.053387
plangate_full,plan_and_solve,10,all_requests,523.000,0.053700
plangate_full,plan_and_solve,10,all_requests,526.000,0.054012
plangate_full,plan_and_solve,10,all_requests,526.000,0.054324
plangate_full,plan_and_solve,10,all_requests,530.000,0.054636
plangate_full,plan_and_solve,10,all_requests,530.000,0.054948
plangate_full,plan_and_solve,10,all_requests,530.000,0.055261
plangate_full,plan_and_solve,10,all_requests,531.000,0.055573
plangate_full,plan_and_solve,10,all_requests,536.000,0.055885
plangate_full,plan_and_solve,10,all_requests,537.000,0.056197
plangate_full,plan_and_solve,10,all_requests,537.000,0.056510
plangate_full,plan_and_solve,10,all_requests,538.000,0.056822
plangate_full,plan_and_solve,10,all_requests,539.000,0.057134
plangate_full,plan_and_solve,10,all_requests,539.000,0.057446
plangate_full,plan_and_solve,10,all_requests,541.000,0.057758
plangate_full,plan_and_solve,10,all_requests,541.000,0.058071
plangate_full,plan_and_solve,10,all_requests,541.000,0.058383
plangate_full,plan_and_solve,10,all_requests,542.000,0.058695
plangate_full,plan_and_solve,10,all_requests,542.000,0.059007
plangate_full,plan_and_solve,10,all_requests,542.000,0.059319
plangate_full,plan_and_solve,10,all_requests,543.000,0.059632
plangate_full,plan_and_solve,10,all_requests,543.000,0.059944
plangate_full,plan_and_solve,10,all_requests,543.000,0.060256
plangate_full,plan_and_solve,10,all_requests,543.000,0.060568
plangate_full,plan_and_solve,10,all_requests,543.000,0.060880
plangate_full,plan_and_solve,10,all_requests,544.000,0.061193
plangate_full,plan_and_solve,10,all_requests,544.000,0.061505
plangate_full,plan_and_solve,10,all_requests,545.000,0.061817
plangate_full,plan_and_solve,10,all_requests,545.000,0.062129
plangate_full,plan_and_solve,10,all_requests,545.000,0.062441
plangate_full,plan_and_solve,10,all_requests,545.000,0.062754
plangate_full,plan_and_solve,10,all_requests,545.000,0.063066
plangate_full,plan_and_solve,10,all_requests,545.000,0.063378
plangate_full,plan_and_solve,10,all_requests,545.000,0.063690
plangate_full,plan_and_solve,10,all_requests,546.000,0.064002
plangate_full,plan_and_solve,10,all_requests,546.000,0.064315
plangate_full,plan_and_solve,10,all_requests,546.000,0.064627
plangate_full,plan_and_solve,10,all_requests,546.000,0.064939
plangate_full,plan_and_solve,10,all_requests,546.000,0.065251
plangate_full,plan_and_solve,10,all_requests,546.000,0.065564
plangate_full,plan_and_solve,10,all_requests,547.000,0.065876
plangate_full,plan_and_solve,10,all_requests,547.000,0.066188
plangate_full,plan_and_solve,10,all_requests,547.000,0.066500
plangate_full,plan_and_solve,10,all_requests,547.000,0.066812
plangate_full,plan_and_solve,10,all_requests,547.000,0.067125
plangate_full,plan_and_solve,10,all_requests,547.000,0.067437
plangate_full,plan_and_solve,10,all_requests,548.000,0.067749
plangate_full,plan_and_solve,10,all_requests,548.000,0.068061
plangate_full,plan_and_solve,10,all_requests,548.000,0.068373
plangate_full,plan_and_solve,10,all_requests,548.000,0.068686
plangate_full,plan_and_solve,10,all_requests,548.000,0.068998
plangate_full,plan_and_solve,10,all_requests,548.000,0.069310
plangate_full,plan_and_solve,10,all_requests,549.000,0.069622
plangate_full,plan_and_solve,10,all_requests,549.000,0.069934
plangate_full,plan_and_solve,10,all_requests,549.000,0.070247
plangate_full,plan_and_solve,10,all_requests,549.000,0.070559
plangate_full,plan_and_solve,10,all_requests,549.000,0.070871
plangate_full,plan_and_solve,10,all_requests,549.000,0.071183
plangate_full,plan_and_solve,10,all_requests,549.000,0.071495
plangate_full,plan_and_solve,10,all_requests,549.000,0.071808
plangate_full,plan_and_solve,10,all_requests,550.000,0.072120
plangate_full,plan_and_solve,10,all_requests,550.000,0.072432
plangate_full,plan_and_solve,10,all_requests,550.000,0.072744
plangate_full,plan_and_solve,10,all_requests,550.000,0.073057
plangate_full,plan_and_solve,10,all_requests,550.000,0.073369
plangate_full,plan_and_solve,10,all_requests,550.000,0.073681
plangate_full,plan_and_solve,10,all_requests,550.000,0.073993
plangate_full,plan_and_solve,10,all_requests,550.000,0.074305
plangate_full,plan_and_solve,10,all_requests,550.000,0.074618
plangate_full,plan_and_solve,10,all_requests,550.000,0.074930
plangate_full,plan_and_solve,10,all_requests,551.000,0.075242
plangate_full,plan_and_solve,10,all_requests,551.000,0.075554
plangate_full,plan_and_solve,10,all_requests,551.000,0.075866
plangate_full,plan_and_solve,10,all_requests,551.000,0.076179
plangate_full,plan_and_solve,10,all_requests,551.000,0.076491
plangate_full,plan_and_solve,10,all_requests,551.000,0.076803
plangate_full,plan_and_solve,10,all_requests,551.000,0.077115
plangate_full,plan_and_solve,10,all_requests,551.000,0.077427
plangate_full,plan_and_solve,10,all_requests,551.000,0.077740
plangate_full,plan_and_solve,10,all_requests,552.000,0.078052
plangate_full,plan_and_solve,10,all_requests,552.000,0.078364
plangate_full,plan_and_solve,10,all_requests,552.000,0.078676
plangate_full,plan_and_solve,10,all_requests,552.000,0.078988
plangate_full,plan_and_solve,10,all_requests,552.000,0.079301
plangate_full,plan_and_solve,10,all_requests,552.000,0.079613
plangate_full,plan_and_solve,10,all_requests,552.000,0.079925
plangate_full,plan_and_solve,10,all_requests,552.000,0.080237
plangate_full,plan_and_solve,10,all_requests,552.000,0.080549
plangate_full,plan_and_solve,10,all_requests,552.000,0.080862
plangate_full,plan_and_solve,10,all_requests,553.000,0.081174
plangate_full,plan_and_solve,10,all_requests,553.000,0.081486
plangate_full,plan_and_solve,10,all_requests,553.000,0.081798
plangate_full,plan_and_solve,10,all_requests,553.000,0.082111
plangate_full,plan_and_solve,10,all_requests,553.000,0.082423
plangate_full,plan_and_solve,10,all_requests,553.000,0.082735
plangate_full,plan_and_solve,10,all_requests,554.000,0.083047
plangate_full,plan_and_solve,10,all_requests,554.000,0.083359
plangate_full,plan_and_solve,10,all_requests,554.000,0.083672
plangate_full,plan_and_solve,10,all_requests,555.000,0.083984
plangate_full,plan_and_solve,10,all_requests,555.000,0.084296
plangate_full,plan_and_solve,10,all_requests,555.000,0.084608
plangate_full,plan_and_solve,10,all_requests,555.000,0.084920
plangate_full,plan_and_solve,10,all_requests,555.000,0.085233
plangate_full,plan_and_solve,10,all_requests,555.000,0.085545
plangate_full,plan_and_solve,10,all_requests,555.000,0.085857
plangate_full,plan_and_solve,10,all_requests,555.000,0.086169
plangate_full,plan_and_solve,10,all_requests,555.000,0.086481
plangate_full,plan_and_solve,10,all_requests,555.000,0.086794
plangate_full,plan_and_solve,10,all_requests,555.000,0.087106
plangate_full,plan_and_solve,10,all_requests,556.000,0.087418
plangate_full,plan_and_solve,10,all_requests,556.000,0.087730
plangate_full,plan_and_solve,10,all_requests,556.000,0.088042
plangate_full,plan_and_solve,10,all_requests,556.000,0.088355
plangate_full,plan_and_solve,10,all_requests,557.000,0.088667
plangate_full,plan_and_solve,10,all_requests,557.000,0.088979
plangate_full,plan_and_solve,10,all_requests,557.000,0.089291
plangate_full,plan_and_solve,10,all_requests,557.000,0.089603
plangate_full,plan_and_solve,10,all_requests,558.000,0.089916
plangate_full,plan_and_solve,10,all_requests,558.000,0.090228
plangate_full,plan_and_solve,10,all_requests,558.000,0.090540
plangate_full,plan_and_solve,10,all_requests,558.000,0.090852
plangate_full,plan_and_solve,10,all_requests,559.000,0.091165
plangate_full,plan_and_solve,10,all_requests,559.000,0.091477
plangate_full,plan_and_solve,10,all_requests,559.000,0.091789
plangate_full,plan_and_solve,10,all_requests,560.000,0.092101
plangate_full,plan_and_solve,10,all_requests,560.000,0.092413
plangate_full,plan_and_solve,10,all_requests,560.000,0.092726
plangate_full,plan_and_solve,10,all_requests,560.000,0.093038
plangate_full,plan_and_solve,10,all_requests,561.000,0.093350
plangate_full,plan_and_solve,10,all_requests,563.000,0.093662
plangate_full,plan_and_solve,10,all_requests,563.000,0.093974
plangate_full,plan_and_solve,10,all_requests,564.000,0.094287
plangate_full,plan_and_solve,10,all_requests,564.000,0.094599
plangate_full,plan_and_solve,10,all_requests,564.000,0.094911
plangate_full,plan_and_solve,10,all_requests,565.000,0.095223
plangate_full,plan_and_solve,10,all_requests,565.000,0.095535
plangate_full,plan_and_solve,10,all_requests,565.000,0.095848
plangate_full,plan_and_solve,10,all_requests,565.000,0.096160
plangate_full,plan_and_solve,10,all_requests,565.000,0.096472
plangate_full,plan_and_solve,10,all_requests,565.000,0.096784
plangate_full,plan_and_solve,10,all_requests,566.000,0.097096
plangate_full,plan_and_solve,10,all_requests,566.000,0.097409
plangate_full,plan_and_solve,10,all_requests,566.000,0.097721
plangate_full,plan_and_solve,10,all_requests,566.000,0.098033
plangate_full,plan_and_solve,10,all_requests,566.000,0.098345
plangate_full,plan_and_solve,10,all_requests,567.000,0.098658
plangate_full,plan_and_solve,10,all_requests,567.000,0.098970
plangate_full,plan_and_solve,10,all_requests,567.000,0.099282
plangate_full,plan_and_solve,10,all_requests,567.000,0.099594
plangate_full,plan_and_solve,10,all_requests,567.000,0.099906
plangate_full,plan_and_solve,10,all_requests,567.000,0.100219
plangate_full,plan_and_solve,10,all_requests,568.000,0.100531
plangate_full,plan_and_solve,10,all_requests,568.000,0.100843
plangate_full,plan_and_solve,10,all_requests,568.000,0.101155
plangate_full,plan_and_solve,10,all_requests,569.000,0.101467
plangate_full,plan_and_solve,10,all_requests,569.000,0.101780
plangate_full,plan_and_solve,10,all_requests,571.000,0.102092
plangate_full,plan_and_solve,10,all_requests,573.000,0.102404
plangate_full,plan_and_solve,10,all_requests,573.000,0.102716
plangate_full,plan_and_solve,10,all_requests,574.000,0.103028
plangate_full,plan_and_solve,10,all_requests,574.000,0.103341
plangate_full,plan_and_solve,10,all_requests,574.000,0.103653
plangate_full,plan_and_solve,10,all_requests,574.000,0.103965
plangate_full,plan_and_solve,10,all_requests,575.000,0.104277
plangate_full,plan_and_solve,10,all_requests,575.000,0.104589
plangate_full,plan_and_solve,10,all_requests,576.000,0.104902
plangate_full,plan_and_solve,10,all_requests,576.000,0.105214
plangate_full,plan_and_solve,10,all_requests,576.000,0.105526
plangate_full,plan_and_solve,10,all_requests,577.000,0.105838
plangate_full,plan_and_solve,10,all_requests,577.000,0.106150
plangate_full,plan_and_solve,10,all_requests,577.000,0.106463
plangate_full,plan_and_solve,10,all_requests,577.000,0.106775
plangate_full,plan_and_solve,10,all_requests,577.000,0.107087
plangate_full,plan_and_solve,10,all_requests,578.000,0.107399
plangate_full,plan_and_solve,10,all_requests,578.000,0.107712
plangate_full,plan_and_solve,10,all_requests,579.000,0.108024
plangate_full,plan_and_solve,10,all_requests,579.000,0.108336
plangate_full,plan_and_solve,10,all_requests,580.000,0.108648
plangate_full,plan_and_solve,10,all_requests,581.000,0.108960
plangate_full,plan_and_solve,10,all_requests,582.000,0.109273
plangate_full,plan_and_solve,10,all_requests,582.000,0.109585
plangate_full,plan_and_solve,10,all_requests,583.000,0.109897
plangate_full,plan_and_solve,10,all_requests,584.000,0.110209
plangate_full,plan_and_solve,10,all_requests,584.000,0.110521
plangate_full,plan_and_solve,10,all_requests,585.000,0.110834
plangate_full,plan_and_solve,10,all_requests,586.000,0.111146
plangate_full,plan_and_solve,10,all_requests,586.000,0.111458
plangate_full,plan_and_solve,10,all_requests,586.000,0.111770
plangate_full,plan_and_solve,10,all_requests,587.000,0.112082
plangate_full,plan_and_solve,10,all_requests,590.000,0.112395
plangate_full,plan_and_solve,10,all_requests,590.000,0.112707
plangate_full,plan_and_solve,10,all_requests,592.000,0.113019
plangate_full,plan_and_solve,10,all_requests,592.000,0.113331
plangate_full,plan_and_solve,10,all_requests,592.000,0.113643
plangate_full,plan_and_solve,10,all_requests,593.000,0.113956
plangate_full,plan_and_solve,10,all_requests,594.000,0.114268
plangate_full,plan_and_solve,10,all_requests,595.000,0.114580
plangate_full,plan_and_solve,10,all_requests,595.000,0.114892
plangate_full,plan_and_solve,10,all_requests,595.000,0.115204
plangate_full,plan_and_solve,10,all_requests,596.000,0.115517
plangate_full,plan_and_solve,10,all_requests,597.000,0.115829
plangate_full,plan_and_solve,10,all_requests,600.000,0.116141
plangate_full,plan_and_solve,10,all_requests,602.000,0.116453
plangate_full,plan_and_solve,10,all_requests,602.000,0.116766
plangate_full,plan_and_solve,10,all_requests,602.000,0.117078
plangate_full,plan_and_solve,10,all_requests,603.000,0.117390
plangate_full,plan_and_solve,10,all_requests,609.000,0.117702
plangate_full,plan_and_solve,10,all_requests,610.000,0.118014
plangate_full,plan_and_solve,10,all_requests,611.000,0.118327
plangate_full,plan_and_solve,10,all_requests,611.000,0.118639
plangate_full,plan_and_solve,10,all_requests,616.000,0.118951
plangate_full,plan_and_solve,10,all_requests,618.000,0.119263
plangate_full,plan_and_solve,10,all_requests,619.000,0.119575
plangate_full,plan_and_solve,10,all_requests,621.000,0.119888
plangate_full,plan_and_solve,10,all_requests,622.000,0.120200
plangate_full,plan_and_solve,10,all_requests,625.000,0.120512
plangate_full,plan_and_solve,10,all_requests,633.000,0.120824
plangate_full,plan_and_solve,10,all_requests,635.000,0.121136
plangate_full,plan_and_solve,10,all_requests,635.000,0.121449
plangate_full,plan_and_solve,10,all_requests,637.000,0.121761
plangate_full,plan_and_solve,10,all_requests,639.000,0.122073
plangate_full,plan_and_solve,10,all_requests,639.000,0.122385
plangate_full,plan_and_solve,10,all_requests,642.000,0.122697
plangate_full,plan_and_solve,10,all_requests,642.000,0.123010
plangate_full,plan_and_solve,10,all_requests,643.000,0.123322
plangate_full,plan_and_solve,10,all_requests,643.000,0.123634
plangate_full,plan_and_solve,10,all_requests,643.000,0.123946
plangate_full,plan_and_solve,10,all_requests,644.000,0.124259
plangate_full,plan_and_solve,10,all_requests,645.000,0.124571
plangate_full,plan_and_solve,10,all_requests,647.000,0.124883
plangate_full,plan_and_solve,10,all_requests,648.000,0.125195
plangate_full,plan_and_solve,10,all_requests,649.000,0.125507
plangate_full,plan_and_solve,10,all_requests,654.000,0.125820
plangate_full,plan_and_solve,10,all_requests,657.000,0.126132
plangate_full,plan_and_solve,10,all_requests,657.000,0.126444
plangate_full,plan_and_solve,10,all_requests,659.000,0.126756
plangate_full,plan_and_solve,10,all_requests,660.000,0.127068
plangate_full,plan_and_solve,10,all_requests,660.000,0.127381
plangate_full,plan_and_solve,10,all_requests,663.000,0.127693
plangate_full,plan_and_solve,10,all_requests,665.000,0.128005
plangate_full,plan_and_solve,10,all_requests,668.000,0.128317
plangate_full,plan_and_solve,10,all_requests,671.000,0.128629
plangate_full,plan_and_solve,10,all_requests,671.000,0.128942
plangate_full,plan_and_solve,10,all_requests,673.000,0.129254
plangate_full,plan_and_solve,10,all_requests,676.000,0.129566
plangate_full,plan_and_solve,10,all_requests,676.000,0.129878
plangate_full,plan_and_solve,10,all_requests,680.000,0.130190
plangate_full,plan_and_solve,10,all_requests,684.000,0.130503
plangate_full,plan_and_solve,10,all_requests,684.000,0.130815
plangate_full,plan_and_solve,10,all_requests,685.000,0.131127
plangate_full,plan_and_solve,10,all_requests,686.000,0.131439
plangate_full,plan_and_solve,10,all_requests,686.000,0.131751
plangate_full,plan_and_solve,10,all_requests,687.000,0.132064
plangate_full,plan_and_solve,10,all_requests,689.000,0.132376
plangate_full,plan_and_solve,10,all_requests,690.000,0.132688
plangate_full,plan_and_solve,10,all_requests,692.000,0.133000
plangate_full,plan_and_solve,10,all_requests,694.000,0.133313
plangate_full,plan_and_solve,10,all_requests,696.000,0.133625
plangate_full,plan_and_solve,10,all_requests,700.000,0.133937
