target,mode,concurrency,cohort,n_rows,header_available,header_nonzero_rows,success_count,step0_reject_count,gw_p50_us,gw_p95_us,gw_p99_us,gw_mean_us,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,gw_share_mean_pct
sbac,plan_and_solve,40,step0_reject,1066,false,0,0,1066,0.0,0.0,0.0,0.0,1.67,10.12,1016.39,50.91860225140713,0.0
sbac,plan_and_solve,40,success_only,2276,false,0,2276,0,0.0,0.0,0.0,0.0,539.24,1416.68,1742.86,597.6971880492091,0.0
sbac,plan_and_solve,80,all_requests,3089,false,0,1984,1105,0.0,0.0,0.0,0.0,5.87,807.07,1008.69,165.26371317578506,0.0
sbac,plan_and_solve,80,step0_reject,1105,false,0,0,1105,0.0,0.0,0.0,0.0,1.6,2.25,3.7,4.340579185520362,0.0
sbac,plan_and_solve,80,success_only,1984,false,0,1984,0,0.0,0.0,0.0,0.0,155.9,834.69,1112.71,254.89076108870967,0.0
srl,plan_and_solve,10,all_requests,7478,false,0,7466,12,0.0,0.0,0.0,0.0,348.78,1096.13,1300.42,452.44191762503345,0.0
srl,plan_and_solve,10,step0_reject,12,false,0,0,12,0.0,0.0,0.0,0.0,1011.82,1017.26,1022.19,1012.8141666666667,0.0
srl,plan_and_solve,10,success_only,7466,false,0,7466,0,0.0,0.0,0.0,0.0,348.59,1097.1,1300.42,451.54123894990624,0.0
srl,plan_and_solve,40,all_requests,3506,false,0,2470,1036,0.0,0.0,0.0,0.0,461.46,1339.74,1637.16,482.5727723901883,0.0
srl,plan_and_solve,40,step0_reject,1036,false,0,0,1036,0.0,0.0,0.0,0.0,1.63,2.1,1012.97,17.223947876447877,0.0
srl,plan_and_solve,40,success_only,2470,false,0,2470,0,0.0,0.0,0.0,0.0,619.14,1417.03,1694.26,677.7555182186235,0.0
srl,plan_and_solve,80,all_requests,3788,false,0,2837,951,0.0,0.0,0.0,0.0,424.83,1236.92,1453.89,448.95250791974655,0.0
srl,plan_and_solve,80,step0_reject,951,false,0,0,951,0.0,0.0,0.0,0.0,1.66,2.31,3.84,10.143922187171398,0.0
srl,plan_and_solve,80,success_only,2837,false,0,2837,0,0.0,0.0,0.0,0.0,513.36,1276.27,1477.61,596.0469615791329,0.0
