gateway,agents,success,partial,all_rejected,cascade_wasted_steps,agent_llm_tokens,backend_llm_tokens,raw_goodput,effective_goodput,eff_gp_per_s,e2e_p50_ms,e2e_p95_ms,elapsed_s
mcpdp-real-no-sessioncap,50,39,10,1,29,342004,7924,251.0,200.0,0.19,48649,120468,1074.7
mcpdp-real-no-sessioncap,50,44,6,0,16,335811,9389,276.0,250.0,0.23,64528,84626,1095.5
mcpdp-real-no-sessioncap,50,44,6,0,22,351660,9972,292.0,254.0,0.24,56900,87479,1066.5
mcpdp-real-no-sessioncap,50,41,8,1,23,324269,8364,255.0,222.0,0.18,69286,105756,1247.1
mcpdp-real-no-sessioncap,50,41,9,0,24,375629,10277,299.0,248.0,0.21,64235,98077,1185.0
mcpdp-real,50,43,6,1,18,350250,8855,276.0,242.0,0.25,50912,85479,968.4
mcpdp-real,50,38,10,2,28,337563,8985,257.0,194.0,0.16,61658,90922,1201.7
mcpdp-real,50,43,7,0,18,339925,9076,280.0,238.0,0.24,56272,89174,1001.4
mcpdp-real,50,38,10,2,27,352474,8940,281.0,221.0,0.17,69375,123189,1323.3
mcpdp-real,50,43,6,1,15,335198,9391,269.0,247.0,0.24,58176,80319,1039.7
ng,50,39,10,1,30,354689,9967,280.0,228.0,0.23,46293,90784,988.2
ng,50,40,10,0,28,342544,9308,268.0,214.0,0.19,61727,109831,1147.9
ng,50,42,8,0,28,380546,12614,321.0,280.0,0.26,59156,99731,1090.1
ng,50,41,9,0,29,338031,8992,268.0,215.0,0.17,63873,93300,1240.8
ng,50,46,4,0,11,352829,11068,290.0,266.0,0.26,52248,89786,1010.3
srl,50,43,7,0,16,355534,11759,278.0,227.0,0.22,51914,86925,1013.8
srl,50,37,13,0,43,352795,8680,282.0,199.0,0.18,56022,97276,1133.1
srl,50,42,7,1,16,342740,10740,280.0,254.0,0.24,55010,93660,1044.6
srl,50,39,11,0,28,346480,8258,263.0,221.0,0.17,67893,110365,1300.7
srl,50,42,7,1,19,327584,7721,250.0,214.0,0.22,50960,89234,987.6
