gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,5,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.51,63.51,428.4,1246.8,2890.8,2527.8,5606.0,6619.6,ng_ps_ratio0.3_run5.csv,
srl,1,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.44,63.44,450.3,1252.9,2152.3,2505.2,5775.2,6619.4,srl_ps_ratio0.3_run1.csv,
srl,2,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.3,63.3,439.3,1218.9,1773.0,2539.3,4869.4,5905.3,srl_ps_ratio0.3_run2.csv,
srl,3,ps_ratio,0.3,200,0,0,1882.0,1882.0,67.97,67.97,431.0,1172.5,1322.2,2435.1,4782.0,5450.3,srl_ps_ratio0.3_run3.csv,
srl,4,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.37,63.37,439.6,1194.7,1345.2,2504.2,4861.3,5640.8,srl_ps_ratio0.3_run4.csv,
srl,5,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.9,63.9,434.5,1255.1,2373.6,2606.5,4983.0,6632.2,srl_ps_ratio0.3_run5.csv,
rajomon,1,ps_ratio,0.3,28,159,13,393.0,295.0,30.61,22.98,4.2,1114.7,1254.7,2571.9,4783.2,5404.3,rajomon_ps_ratio0.3_run1.csv,
rajomon,2,ps_ratio,0.3,21,161,18,336.0,175.0,22.97,11.97,2.6,1102.3,1254.3,2030.1,3590.8,4017.2,rajomon_ps_ratio0.3_run2.csv,
rajomon,3,ps_ratio,0.3,33,152,15,433.0,350.0,33.75,27.28,143.1,1129.7,1302.7,2446.7,5190.2,5669.4,rajomon_ps_ratio0.3_run3.csv,
rajomon,4,ps_ratio,0.3,30,159,11,402.0,327.0,27.5,22.37,3.6,1478.7,3018.0,4407.8,6537.9,7510.4,rajomon_ps_ratio0.3_run4.csv,
rajomon,5,ps_ratio,0.3,29,158,13,396.0,310.0,30.89,24.18,3.0,1102.7,1280.0,2474.8,4826.7,5569.6,rajomon_ps_ratio0.3_run5.csv,
dagor,1,ps_ratio,0.3,82,58,60,1004.0,771.0,64.28,49.36,181.0,970.1,1148.3,1517.2,3802.0,4273.6,dagor_ps_ratio0.3_run1.csv,
dagor,2,ps_ratio,0.3,82,70,48,966.0,777.0,62.94,50.62,166.6,992.1,1728.2,1661.4,3804.9,4870.6,dagor_ps_ratio0.3_run2.csv,
dagor,3,ps_ratio,0.3,81,65,54,997.0,799.0,60.05,48.13,202.4,1030.6,2691.5,1878.3,4202.4,5817.9,dagor_ps_ratio0.3_run3.csv,
dagor,4,ps_ratio,0.3,80,62,58,1003.0,765.0,63.45,48.39,187.1,1019.2,1653.4,1764.8,4224.2,5174.9,dagor_ps_ratio0.3_run4.csv,
dagor,5,ps_ratio,0.3,,,,,,,,,,,,,,,[Errno 22] Invalid argument: '/mnt/d/mcp-governance-main/scripts/../results/_gateway_dagor_9150.log'
sbac,1,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.6,63.6,442.8,1254.8,2296.9,2584.6,5401.2,6811.1,sbac_ps_ratio0.3_run1.csv,
sbac,2,ps_ratio,0.3,200,0,0,1882.0,1882.0,61.89,61.89,443.5,1321.4,2808.1,2618.0,5560.9,6806.2,sbac_ps_ratio0.3_run2.csv,
sbac,3,ps_ratio,0.3,200,0,0,1882.0,1882.0,65.64,65.64,437.2,1249.2,1874.3,2533.0,4921.5,6082.1,sbac_ps_ratio0.3_run3.csv,
sbac,4,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.64,63.64,437.6,1240.8,2944.6,2483.0,5698.0,6766.2,sbac_ps_ratio0.3_run4.csv,
sbac,5,ps_ratio,0.3,200,0,0,1882.0,1882.0,63.73,63.73,436.9,1280.9,2831.4,2586.2,5430.6,6744.0,sbac_ps_ratio0.3_run5.csv,
plangate_full,1,ps_ratio,0.3,178,11,11,1647.0,1611.0,62.35,60.99,407.7,1184.6,1377.6,2310.1,4730.0,5270.3,plangate_full_ps_ratio0.3_run1.csv,
plangate_full,2,ps_ratio,0.3,178,11,11,1647.0,1611.0,63.01,61.64,408.0,1245.6,1783.7,2318.3,4960.7,5534.9,plangate_full_ps_ratio0.3_run2.csv,
plangate_full,3,ps_ratio,0.3,177,11,12,1636.0,1593.0,62.71,61.06,408.2,1260.7,2360.0,2437.4,5213.1,5867.4,plangate_full_ps_ratio0.3_run3.csv,
plangate_full,4,ps_ratio,0.3,178,11,11,1647.0,1611.0,63.05,61.67,408.5,1291.7,2161.0,2399.9,5282.9,6401.8,plangate_full_ps_ratio0.3_run4.csv,
plangate_full,5,ps_ratio,0.3,178,11,11,1647.0,1611.0,62.88,61.5,412.1,1236.8,2431.3,2431.4,5261.6,6671.7,plangate_full_ps_ratio0.3_run5.csv,
ng,1,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.9,63.9,464.0,1319.6,2263.5,2831.7,5332.0,7374.5,ng_ps_ratio0.5_run1.csv,
ng,2,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.86,63.86,467.9,1277.1,2598.9,2873.3,5926.9,6583.5,ng_ps_ratio0.5_run2.csv,
ng,3,ps_ratio,0.5,198,0,2,2017.0,2003.0,63.98,63.54,460.0,1249.0,1477.1,2694.5,5111.2,5680.9,ng_ps_ratio0.5_run3.csv,
ng,4,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.89,63.89,475.0,1330.5,2183.9,2815.9,5282.9,7124.8,ng_ps_ratio0.5_run4.csv,
ng,5,ps_ratio,0.5,199,0,1,2013.0,2012.0,63.85,63.82,467.9,1300.5,2601.7,2943.7,5566.1,7086.8,ng_ps_ratio0.5_run5.csv,
srl,1,ps_ratio,0.5,200,0,0,2026.0,2026.0,65.91,65.91,449.9,1321.4,1804.1,2871.3,5255.6,5842.8,srl_ps_ratio0.5_run1.csv,
