concurrency,gateway,run,success,partial,all_rejected,error,abd_total,success_rate,cascade_agents,cascade_steps,eff_gps,p50_ms,p95_ms,http_429_count,client_rc,client_timed_out,csv
16,rajomon,1,10,55,15,0,84.6,12.5,70,125,0.04,63461.0,295213.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run1\steps.csv
16,rajomon,2,15,55,10,0,78.6,18.8,65,148,0.11,96067.0,156120.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run2\steps.csv
16,rajomon,3,14,55,11,0,79.7,17.5,66,151,0.06,86324.0,112838.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run3\steps.csv
16,static,1,11,50,19,0,82.0,13.8,69,132,0.04,76691.0,155833.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\static\run1\steps.csv
16,static,2,14,53,13,0,79.1,17.5,66,127,0.05,74760.0,258731.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\static\run2\steps.csv
16,static,3,11,45,24,0,80.4,13.8,69,125,0.05,77637.0,112890.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\static\run3\steps.csv
20,ng,1,15,50,15,0,76.9,18.8,65,114,0.12,95241.0,219252.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\ng\run1\steps.csv
20,ng,2,14,53,13,0,79.1,17.5,66,133,0.14,131835.0,224131.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\ng\run2\steps.csv
20,ng,3,10,57,13,0,85.1,12.5,70,153,0.05,82876.0,117109.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\ng\run3\steps.csv
20,plangate_relaxed,1,18,55,7,0,75.3,22.5,62,147,0.16,88660.0,169861.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\plangate_relaxed\run1\steps.csv
20,plangate_relaxed,2,25,44,11,0,63.8,31.2,55,117,0.2,86944.0,162058.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\plangate_relaxed\run2\steps.csv
20,plangate_relaxed,3,25,49,6,0,66.2,31.2,55,139,0.25,88609.0,159048.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\plangate_relaxed\run3\steps.csv
20,pp,1,11,53,16,0,82.8,13.8,69,135,0.11,96725.0,130564.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\pp\run1\steps.csv
20,pp,2,20,52,8,0,72.2,25.0,60,139,0.12,67532.0,166723.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\pp\run2\steps.csv
20,pp,3,15,55,10,0,78.6,18.8,65,136,0.13,89421.0,176208.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\pp\run3\steps.csv
20,rajomon,1,16,52,12,0,76.5,20.0,64,147,0.14,87049.0,203275.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\rajomon\run1\steps.csv
20,rajomon,2,18,50,12,0,73.5,22.5,62,146,0.13,93376.0,215476.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\rajomon\run2\steps.csv
20,rajomon,3,22,49,9,0,69.0,27.5,58,144,0.16,90353.0,163783.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\rajomon\run3\steps.csv
20,static,1,12,58,10,0,82.9,15.0,68,134,0.09,107923.0,196199.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\static\run1\steps.csv
20,static,2,14,54,12,0,79.4,17.5,66,139,0.13,100948.0,220039.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\static\run2\steps.csv
20,static,3,12,58,10,0,82.9,15.0,68,152,0.07,70137.0,105517.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C20\static\run3\steps.csv
