gateway,concurrency,n,gps_mean,gps_sd,gps_ci95,p50_mean,p50_sd,p95_mean,p95_sd,p95_ci95,p99_mean,p99_sd,succ_mean,abd_pct_mean,abd_pct_sd,casc_pct_mean,casc_all_pct_mean,rej0_mean,jfi_mean
ng,10,5,71.63199999999999,0.049699094559159114,0.06169968350000158,1.12868,0.0012377398757413055,2.73864,0.0005770615218503192,0.0007164016482395318,3.38958,0.0019395875850293015,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
ng,20,5,69.80999999999999,0.08000000000000007,0.09931719528863074,2.66846,0.035638504457959484,4.872660000000001,0.06558683556934265,0.08142375695754639,5.53448,0.07896744265835122,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
ng,30,5,61.862,0.8341282874953955,1.0355410253118904,4.1517,0.059049428447699705,7.14378,0.15230800044646398,0.18908504280452884,8.21472,0.14460839187267108,278.4,6.012907945225088,1.455795408254257,6.012907945225088,5.933333333333333,3.8,0.8541000000000001
ng,40,5,40.938,2.2477032722314547,2.790444810488819,4.4943,0.23309265325187747,8.183779999999999,0.44210612639953306,0.5488592561740306,9.289080000000002,0.5228072943255478,151.6,42.22486908149809,4.515841212104189,42.22486908149809,36.86666666666667,37.8,0.82378
ng,60,5,28.851999999999997,0.8860981886901705,1.1000598356380444,3.8029399999999995,0.2571991310249705,6.71652,0.4090746716676553,0.5078518631706123,8.392520000000001,1.1398129789575127,52.4,63.34893431215393,3.16167001866091,63.34893431215393,30.133333333333333,157.2,0.7781399999999999
ng,80,5,24.11,1.0285669642760265,1.2769298257304513,3.2818599999999996,0.2368820550400557,5.510199999999999,0.8409156556991909,1.043967304979293,6.91272,1.5758293870213234,42.4,67.161213544725,1.4765196167247367,67.161213544725,28.933333333333337,170.8,0.77712
srl,10,5,71.624,0.01673320053068328,0.020773681811371115,1.12838,0.0016902662512161145,2.7384,0.0002738612787524718,0.000339989176298167,3.3901600000000003,0.002325510696599705,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
srl,20,5,69.772,0.20656718035544644,0.25644591239479575,2.65348,0.023144913048011244,4.9011,0.037651626790884005,0.04674317463656081,5.58458,0.09291427231593657,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
srl,30,5,62.168000000000006,1.0185136228838574,1.2644489548510847,4.16132,0.031647385358035726,7.1730599999999995,0.07464209938097903,0.09266554951217588,8.15088,0.1393495496942848,279.8,5.610466024029654,1.94501308836911,5.610466024029654,5.533333333333333,3.6,0.8557600000000001
srl,40,5,40.554,2.2216052754708713,2.7580450624774078,4.43876,0.2656200067765982,8.19618,0.3892803257294156,0.4832778766561265,9.198260000000001,0.46820915518601236,144.0,44.68421304910413,3.09512060256637,44.68421304910413,38.733333333333334,39.8,0.8161400000000001
srl,60,5,32.622,1.852220289274469,2.2994665523429547,3.76464,0.24179738005197665,7.21246,0.5048593398165475,0.6267651705731149,9.18262,0.38798660672760327,50.2,59.1396451914099,1.3696085068878414,59.1396451914099,24.2,177.2,0.8030799999999999
srl,80,5,31.76,2.1646131294067312,2.687291311220278,3.7931199999999996,0.1763296259849715,6.62812,0.17651684622154348,0.21913947609897774,7.658759999999999,0.8572714931688796,49.0,60.13687128022584,2.924524741827701,60.13687128022584,24.6,177.2,0.7998999999999999
sbac,10,5,71.624,0.020736441353331133,0.025743564943500306,1.12828,0.0006648308055437683,2.73898,0.000960208310732655,0.0011920649539350155,3.38962,0.0009705668446841116,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
sbac,20,5,69.822,0.15039946808416396,0.18671566678776358,2.6701,0.03719146407443502,4.8662,0.06969515765101601,0.08652409478872322,5.50396,0.10230045454444454,300.0,0.0,0.0,0.0,0.0,0.0,0.8596999999999999
sbac,30,5,61.186,0.8382004533523015,1.0405964764576159,4.14866,0.03361804574926974,7.109,0.0807392407692817,0.1002349367867315,7.956360000000001,0.27716645359783376,248.4,7.4512446808544635,1.0698088540188202,7.4512446808544635,6.666666666666667,31.6,0.85452
sbac,40,5,43.294,2.3568474706692406,2.925943506374652,4.49674,0.2125970437235665,8.02932,0.38544804708287167,0.47852023707188585,9.382900000000001,0.7171739154486875,104.8,38.51331429281455,2.9361538835571923,38.51331429281455,21.866666666666667,129.6,0.83788
sbac,60,5,36.306,1.9813959725405728,2.4598336343614786,3.92314,0.2621383279873435,7.038500000000001,0.3003675165526397,0.37289574124774394,7.8062,0.5648761545684151,47.4,51.57380254154448,6.098563067958066,51.57380254154448,16.8,202.2,0.80298
sbac,80,5,33.812,2.131658978354651,2.646379888025147,2.58074,0.5096161673259593,5.73854,0.567751325846096,0.7048433663054462,6.472620000000001,0.8570500084592498,43.0,51.376655464349696,2.217300547607417,51.376655464349696,15.2,211.4,0.82312
plangate_full,10,5,52.17,5.181713037210763,6.43291507057881,1.18656,0.13755045619698986,2.79568,0.08196088701325775,0.1017515677690639,3.13502,0.2214947561456025,48.6,0.0,0.0,0.0,0.0,251.4,0.8814
