store,runs,sessions_mean,success_mean,workflow_success_rate_mean,admitted_success_rate_mean,cascade_failed_mean,partial_mean,client_rc_mean,client_timed_out_mean,unexpected_errors_mean,side_effects_committed_mean,duplicate_side_effect_mean,resume_recovered_mean,post_resume_success_mean,cross_gateway_resume_success_mean,db_final_state_consistent_mean,p50_ms_mean,p95_ms_mean
memory,3,12.333333,9.0,72.863333,74.883333,3.0,0.0,2.333333,0.0,2.333333,30.0,0.0,0.0,0.0,0.0,1.0,10.250667,18.972333
redis,3,17.333333,8.666667,50.462667,50.462667,4.333333,4.333333,4.333333,0.0,4.333333,39.0,0.0,0.0,0.0,0.0,1.0,10.044,18.108333
