gateway,repeat,selected_tasks,duration_s,success,success_rate,abd,abd_total,cascade_failed,cascade_rate,all_rejected,step0_rejected,effective_goodput_s,p50_ms,p95_ms,client_rc,client_timed_out,error,backend_mode,task_set_sha256
ng,1,30,6.297,30,100.0,0.0,0.0,0,0.0,0,0,51.298308,156.056,837.481,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
ng,2,30,7.229,30,100.0,0.0,0.0,0,0.0,0,0,45.784934,157.126,866.521,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
ng,3,30,7.721,30,100.0,0.0,0.0,0,0.0,0,0,43.903818,157.827,849.849,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,1,30,7.018,30,100.0,0.0,0.0,0,0.0,0,0,46.021765,155.888,810.788,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,2,30,6.725,30,100.0,0.0,0.0,0,0.0,0,0,49.216604,157.279,843.76,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,3,30,7.533,30,100.0,0.0,0.0,0,0.0,0,0,45.002447,168.366,883.669,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,1,30,7.002,30,100.0,0.0,0.0,0,0.0,0,0,46.129521,155.542,807.21,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,2,30,7.517,30,100.0,0.0,0.0,0,0.0,0,0,44.032482,156.76,862.803,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,3,30,7.225,30,100.0,0.0,0.0,0,0.0,0,0,46.917912,156.999,818.222,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,1,30,6.462,30,100.0,0.0,0.0,0,0.0,0,0,49.983351,156.134,856.624,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,2,30,7.038,30,100.0,0.0,0.0,0,0.0,0,0,47.031341,157.457,857.441,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,3,30,7.528,30,100.0,0.0,0.0,0,0.0,0,0,45.032996,157.387,863.888,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,1,30,5.133,8,26.667,52.941,52.941,9,30.0,13,13,19.28692,5.16,806.334,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,2,30,4.57,5,16.667,50.0,50.0,5,16.667,20,20,14.222927,6.171,807.163,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,3,30,6.429,10,33.333,37.5,37.5,6,20.0,14,14,17.888557,156.102,806.692,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
