backend_avg_rss_mb_max,backend_avg_rss_mb_mean,backend_avg_rss_mb_min,backend_avg_rss_mb_std,backend_cpu_delta_s_max,backend_cpu_delta_s_mean,backend_cpu_delta_s_min,backend_cpu_delta_s_std,backend_peak_rss_mb_max,backend_peak_rss_mb_mean,backend_peak_rss_mb_min,backend_peak_rss_mb_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,gateway_avg_rss_mb_max,gateway_avg_rss_mb_mean,gateway_avg_rss_mb_min,gateway_avg_rss_mb_std,gateway_cpu_delta_s_max,gateway_cpu_delta_s_mean,gateway_cpu_delta_s_min,gateway_cpu_delta_s_std,gateway_peak_rss_mb_max,gateway_peak_rss_mb_mean,gateway_peak_rss_mb_min,gateway_peak_rss_mb_std,p50_ms_max,p50_ms_mean,p50_ms_min,p50_ms_std,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,p99_ms_max,p99_ms_mean,p99_ms_min,p99_ms_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,success_max,success_mean,success_min,success_std,throughput_workflows_s_max,throughput_workflows_s_mean,throughput_workflows_s_min,throughput_workflows_s_std,variant,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
3.39,3.39,3.39,0.0,0.0,0.0,0.0,0.0,3.39,3.39,3.39,0.0,20,0.0,0.0,0.0,0.0,432.8521,407.87414,362.7431,28.637159,19.48,19.306,19.13,0.136492,4.6094,3.86874,3.2656,0.589599,22.04,21.436,20.95,0.422706,10.943,10.4096,10.017,0.381978,22.62,21.5664,20.587,0.766509,77.003,36.6272,24.472,22.60798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,432.8521,407.87414,362.7431,28.637159,baseline_gateway,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,50,0.0,0.0,0.0,0.0,570.5043,545.5163,523.5192,21.22579,26.37,25.818,25.31,0.446004,4.2656,3.91874,3.5156,0.290737,30.53,29.804,28.92,0.633585,20.41,19.7436,18.944,0.568475,46.178,41.4914,38.66,2.941973,68.773,63.997,55.26,5.13625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,570.5043,545.5163,523.5192,21.22579,baseline_gateway,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,100,0.0,0.0,0.0,0.0,567.4219,552.13264,525.6823,17.625708,35.59,34.388,33.6,0.818883,4.5625,3.91876,3.0781,0.634249,42.34,41.162,40.37,0.867104,39.855,38.3006,36.927,1.155182,88.213,86.2748,84.016,1.622106,180.136,161.6158,139.679,14.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,567.4219,552.13264,525.6823,17.625708,baseline_gateway,1.0,1.0,1.0,0.0
3.39,3.39,3.39,0.0,0.0,0.0,0.0,0.0,3.39,3.39,3.39,0.0,20,0.0,0.0,0.0,0.0,453.229,428.491,388.4616,25.146589,22.01,21.832,21.49,0.226318,5.7031,4.78126,4.3438,0.572703,27.4,26.272,25.36,0.772962,11.425,10.194,9.65,0.706209,22.132,20.7518,19.369,1.020048,27.86,26.0714,24.271,1.516105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,453.229,428.491,388.4616,25.146589,plangate_adaptive,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,50,0.0,0.0,0.0,0.0,553.6617,537.0593,506.8933,17.716117,29.2,28.664,28.23,0.390935,5.4531,4.40936,3.5,0.69591,34.81,34.36,33.99,0.32039,20.65,19.9582,19.394,0.451378,48.483,41.7522,38.834,4.056557,80.135,69.9512,60.46,7.246866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,553.6617,537.0593,506.8933,17.716117,plangate_adaptive,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,100,0.0,0.0,0.0,0.0,562.8596,551.25182,529.4522,15.05798,37.89,37.232,36.49,0.514849,4.5469,3.98438,3.3125,0.545553,47.45,46.254,45.53,0.770214,39.208,37.9016,35.162,1.798645,90.574,79.906,73.871,6.427016,227.436,201.3022,179.067,19.517308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,562.8596,551.25182,529.4522,15.05798,plangate_adaptive,1.0,1.0,1.0,0.0
3.39,3.39,3.39,0.0,0.0,0.0,0.0,0.0,3.39,3.39,3.39,0.0,20,0.0,0.0,0.0,0.0,401.259,394.02006,383.7485,6.426297,22.84,22.468,22.13,0.294907,5.9375,5.55624,5.2656,0.257134,27.39,26.83,25.7,0.658255,11.684,11.1842,10.886,0.319806,22.025,21.535,20.898,0.465141,26.776,26.0134,24.336,1.094337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,401.259,394.02006,383.7485,6.426297,plangate_adaptive_react_recovery,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,50,0.0,0.0,0.0,0.0,552.5145,543.9044,529.8024,8.442811,29.33,28.886,28.24,0.444781,4.9219,4.15002,3.4375,0.564961,35.42,34.562,33.89,0.653353,21.273,20.1812,19.52,0.689027,41.849,40.557,37.926,1.517001,73.566,67.395,60.854,5.145651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,552.5145,543.9044,529.8024,8.442811,plangate_adaptive_react_recovery,1.0,1.0,1.0,0.0
3.36,3.36,3.36,0.0,0.0,0.0,0.0,0.0,3.36,3.36,3.36,0.0,100,0.0,0.0,0.0,0.0,562.1435,552.8078,545.6992,6.19648,37.66,37.316,37.02,0.241516,5.0938,4.4125,3.7656,0.604645,46.32,45.968,45.67,0.274991,39.646,38.1498,35.806,1.578423,95.537,87.9736,81.215,6.411763,204.031,161.7404,144.373,24.197849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1000.0,1000.0,1000.0,0.0,562.1435,552.8078,545.6992,6.19648,plangate_adaptive_react_recovery,1.0,1.0,1.0,0.0
