gateway,window_id,window_label,scale,runs,selected_trace_rows_mean,duration_s_mean,success_mean,success_rate_mean,abd_mean,abd_total_mean,cascade_failed_mean,cascade_rate_mean,all_rejected_mean,step0_rejected_mean,effective_goodput_s_mean,p50_ms_mean,p95_ms_mean,client_rc_mean,client_timed_out_mean
ng,burst,burst,1.0,3,24.0,53.664333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672066,157.039667,808.105,0.0,0.0
ng,burst,burst,1.5,3,24.0,36.330333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105277,157.068333,807.848667,0.0,0.0
ng,burst,burst,2.0,3,24.0,28.118667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.438644,157.256333,808.242,0.0,0.0
ng,normal,normal,1.0,3,24.0,52.835,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.552907,156.607,807.958,0.0,0.0
ng,normal,normal,1.5,3,24.0,35.123333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576548,157.222667,807.833,0.0,0.0
ng,normal,normal,2.0,3,24.0,27.380667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921846,157.257333,808.051667,0.0,0.0
ng,peak_burst,peak-burst,1.0,3,24.0,52.297667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.874591,157.227,807.752333,0.0,0.0
ng,peak_burst,peak-burst,1.5,3,24.0,36.118333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.652131,157.116333,807.553667,0.0,0.0
ng,peak_burst,peak-burst,2.0,3,24.0,26.487333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.123854,156.964,807.641667,0.0,0.0
plangate_relaxed,burst,burst,1.0,3,24.0,52.972333,9.0,37.5,35.577,35.577,5.0,20.833333,10.0,10.0,1.797221,9.049667,808.294667,0.0,0.0
plangate_relaxed,burst,burst,1.5,3,24.0,34.556667,5.666667,23.611333,43.060667,43.060667,4.0,16.666667,14.333333,14.333333,1.360051,56.094333,593.774333,0.0,0.0
plangate_relaxed,burst,burst,2.0,3,24.0,27.25,6.666667,27.778,47.677,47.677,6.0,25.0,11.333333,11.333333,2.282246,7.778,808.053,0.0,0.0
